#element,configuration,UUID
Ac,X2O,cdff570a-f680-47cb-b33a-fca791b73292
Ac,X2O3,d31f6c21-e647-4580-b070-10478b63513b
Ac,X2O5,59d93026-91b5-4fa7-9871-533e027f3eba
Ac,XO,6419c5b9-15af-486e-b47d-b9d88a655f02
Ac,XO2,c7d7f1fd-1e89-48ba-b89b-15c2113c552f
Ac,XO3,090b8a02-56eb-4c54-a832-2a82ca0b4e31
Ag,X2O,883d8950-cf00-4e94-86c3-4742daf83057
Ag,X2O3,78c339c1-5180-4036-9f4b-7dbc64655837
Ag,X2O5,288ee7dd-7f38-407a-91b3-450fcf8dce62
Ag,XO,157c8242-604c-41fd-a55e-e573949ed8f5
Ag,XO2,a96b79fb-7fee-4bbd-8c55-8f62493bdb4a
Ag,XO3,78e3e0d9-f5af-4eb9-a518-a46f13dfb1b2
Al,X2O,769fff5e-4005-4f11-9861-99bb6cd6b46e
Al,X2O3,6c5573f0-9a95-499b-ab28-5e8474dc7b33
Al,X2O5,7dc15c9f-b019-4e6a-b453-c8c09cb56a56
Al,XO,889df2e6-642f-4aee-a4e5-3a5cac0b099f
Al,XO2,7218d793-e7b9-4962-9286-ada014f9ece4
Al,XO3,c827cf31-f7bf-4684-b79d-3d74823b86e3
Am,X2O,20252757-9e0e-423a-8b8b-edf9a4a695fe
Am,X2O3,7ab2a48d-82ac-46e1-8ee3-35c5f4067692
Am,X2O5,d24237b3-47b8-43c2-90cf-c099b1276553
Am,XO,be7cbdd7-3980-4a4d-b2df-63a0e2c0ba8b
Am,XO2,d3d46ae8-1b4f-4105-8154-cbcceba777b8
Am,XO3,96a08bd6-14f5-442f-8677-e1816118d14f
Ar,X2O,6f539ace-ce9b-47da-9d6b-f70068ad70b1
Ar,X2O3,116cc22a-c59f-473e-b92d-74800f335145
Ar,X2O5,ab7e5dc0-c56b-49e6-81cb-ec2387767c62
Ar,XO,94488d8b-e955-4d4f-a4a7-c77072acc664
Ar,XO2,45eacfa1-33fe-434a-80db-f08407287fb4
