#element,configuration,UUID
Ac,X/BCC,b760fc22-43d7-45e6-951b-a3f2a658d568
Ac,X/Diamond,f73246f2-13df-4aa6-a8a1-708a524e6494
Ac,X/FCC,6e2d8980-c4d3-4d38-89cd-d9ab91acf96a
Ac,X/SC,853bfc3f-85af-46ec-9c16-aba1e1033d9a
Ag,X/BCC,067479af-7294-4d7c-8b77-05c1bfe05ed3
Ag,X/Diamond,43f89596-4eab-4cbf-a26e-0d1f69d6f6f8
Ag,X/FCC,64d3079d-9d2e-4b7d-ba69-fa0ae1f71367
Ag,X/SC,9a93d627-2589-487d-a3c9-de57a85c5287
Al,X/BCC,2ccbdda6-d2df-4510-9745-66dfa2d4e137
Al,X/Diamond,e15c1ecc-221a-4a83-abdd-beb5886bb832
Al,X/FCC,e9298cd3-dc3a-4093-a4ca-14b641e87727
Al,X/SC,3a968597-e881-410b-a346-49bb8f7de269
Am,X/BCC,91a4c5d0-241d-480b-941a-ee6175bc905e
Am,X/Diamond,4a4a2a94-63c7-46d2-b32e-7892a8a3054f
Am,X/FCC,3372b4b1-a5ca-4df4-ab2a-b815292c4115
Am,X/SC,e10ecdf7-9cbf-451c-b782-2696a6dcca8d
Ar,X/BCC,d5408ea4-ce34-4c1e-bae4-a9876d371ba2
Ar,X/Diamond,d4c188eb-54d0-474c-a4ee-4a98ca04022d
Ar,X/FCC,1cdb7c3a-8099-44e3-af24-336796191c23
Ar,X/SC,e73e77c2-aa70-4986-ac5d-115f88cf38eb
As,X/BCC,7274f948-21a9-413e-bc59-652cf8f5d2d0
As,X/Diamond,82bdb151-2b31-4c1c-bf7e-b37f81bd95a1
As,X/FCC,aa5b73a5-04cc-4cf1-9664-adbd92d2cd0e
As,X/SC,be0a1082-1ec2-4490-be4b-04620befe1f1
At,X/BCC,2e1f86bb-ea33-4103-be6d-928222090129
At,X/Diamond,ea8b5d11-8b54-41ff-8a4c-c7789d8e7ae7
At,X/FCC,078bd0f1-c193-4a67-95b7-4dcab022eaee
At,X/SC,efa5bc74-b4b1-4513-93f1-3d7a89808fd3
Au,X/BCC,12ef7ae9-a631-4825-a389-66435940886e
Au,X/Diamond,c36772d2-9c90-4a64-bf1f-9bddb196e2c6
Au,X/FCC,5f853c07-e0a3-443e-8176-905a52266c45
Au,X/SC,a2bce8dc-cb95-476f-a84b-f1486aeb0ebf
B,X/BCC,23405522-bb27-40aa-b0c7-92e5cba1285b
B,X/Diamond,f3171597-087b-4db8-bbeb-3449947f8388
B,X/FCC,313e6716-bd9f-49fd-8baa-42f958be381f
B,X/SC,9636780f-e67f-4462-b5c2-9a3e2d126b5b
Ba,X/BCC,c318c676-990b-422f-9c48-1cf7f7572aa5
Ba,X/Diamond,f54d727d-4443-4514-b089-0ffd45f3f933
Ba,X/FCC,b127679d-9676-4bb9-ae45-667ee48be0ca
Ba,X/SC,d0f71a06-d9a3-4861-8029-25a09209ac79
Be,X/BCC,2c968a81-2010-4aaf-9eb9-2cde91bfcd80
Be,X/Diamond,9d755be5-7cb6-4e79-a49a-aecbd97a0bdd
Be,X/FCC,d559b159-fdcf-4531-aaf4-27eece687f45
Be,X/SC,2b589a32-1488-4957-bbd5-407c0f9c5258
Bi,X/BCC,e65d9977-db58-4b8c-be14-ea00a21ad8ff
Bi,X/Diamond,c4d3c717-255c-4598-9e34-ecf349c29d2f
Bi,X/FCC,98f3eae7-704c-40d7-aeb7-86e0195dad49
Bi,X/SC,38a0d2be-2cbe-4ef7-a2de-e679a9a76e98
Bk,X/BCC,9b85b58c-4fd4-4444-ad46-4a0f5b195885
Bk,X/Diamond,8dc4cd0b-7d64-4989-903a-2d2a27836682
Bk,X/FCC,28e37e6f-92ba-4495-8050-1a7819ca07e6
Bk,X/SC,bb8bd6d8-9355-4029-b57a-f920a04602cb
Br,X/BCC,75754f86-1ff6-4c6f-9450-b68df3242491
Br,X/Diamond,0cd99856-af4e-46c7-a66b-abc596d97de2
Br,X/FCC,c7c39330-ae15-476b-b4ca-fdfa720dba93
Br,X/SC,90b3370f-e1ab-4780-b91b-56a38e37e413
C,X/BCC,7fbe19e3-76b0-4cd1-beef-0898c66aec24
C,X/Diamond,bd17cf3d-d373-4832-ab88-15e61057650b
C,X/FCC,a7de35f6-cb15-43db-8ffb-7d7f38b90c30
C,X/SC,e32e382f-bf2d-40a9-a3c2-04852fae7e8d
Ca,X/BCC,cd469abf-edf9-485e-b2c5-bdbe18831a00
Ca,X/Diamond,9b0f2cce-0f8d-48ee-a431-0cb610094694
Ca,X/FCC,1aab4f98-58d1-492a-a2a7-382d97917a30
Ca,X/SC,af9d98d9-d796-4223-aa57-30a29d882b3a
