#element,configuration,UUID
Bk,X/BCC,4d9a3c4b-9e96-4001-a181-dfffce01a363
Bk,X/Diamond,26b0368c-938f-4b78-921a-e6b079b4010c
Bk,X/FCC,f9e07a95-2dc0-42a2-937f-84b9bc986cfb
Bk,X/SC,11fa3bee-db40-4355-b92d-2bad6f2bf1bc
Cf,X/BCC,d7627ae2-eed0-4872-918a-edae52cdfdec
Cf,X/Diamond,d6d14432-84d4-4f99-b3a5-11e97657bf2a
Cf,X/FCC,cd23478c-9577-418d-b7e9-b4cb03bf0576
Cf,X/SC,af665ba2-985f-4ed2-bbff-675a0027a38d
Es,X/BCC,7dc8b915-09d9-4ccd-b445-280312d7969b
Es,X/Diamond,316fde7f-6d70-43f3-8c6e-8620155f0d6c
Es,X/FCC,9b771a59-6adc-470c-ab27-a2adf1761c51
Es,X/SC,e3743508-b44f-4f72-b50a-cfc2d87a6f61
Fm,X/BCC,36bc771f-974d-4545-9512-c96fb6b1a238
Fm,X/Diamond,6f4f9c0e-6c97-452f-8eb0-34fcc8a9ef74
Fm,X/FCC,a81e1665-f6e5-4310-8997-bc2e8f6471ee
Fm,X/SC,b3c6215c-3e80-4260-b49d-67c49b2a5787
Lr,X/BCC,5267abb4-dba6-4510-bcf2-c6081625ac13
Lr,X/Diamond,04708990-873e-41a5-be3e-da2291e2c54c
Lr,X/FCC,b6401c0f-9350-4e9d-a1bb-4dbb21843ec7
Lr,X/SC,f8ace2df-f4f3-479d-8713-127371e3e490
Md,X/BCC,a2795c71-f4ef-410a-aff9-a190fc9d1df1
Md,X/Diamond,b1aea1b9-b86e-42b5-8f19-0c6bb8c5221e
Md,X/FCC,9378f683-b683-4066-9a2a-42fe558909a2
Md,X/SC,d4968f5f-6ace-4045-84e9-083727f36df7
No,X/BCC,d540b1df-e7e5-4234-93f7-cc199bad8932
No,X/Diamond,9308f2e7-077e-47b8-9ce7-25cf191398d1
No,X/FCC,956ae1fb-ad31-4440-8855-ac28b7653d9c
No,X/SC,3b615d32-a84e-47b3-ab3c-a463461f27fc
