#element,configuration,UUID
Br,X/Diamond,83ed1eb5-1941-465e-8680-7d5c7e05d539
Cl,X/BCC,9064e2c2-9c1f-49f3-b374-9c6119870a34
Cl,X/Diamond,50f8eb65-1485-45aa-a7f6-ffc258975a76
Cl,X/FCC,43eec785-0be3-415d-9a49-be1c7add9dc2
Co,X/BCC,af75aca9-1e60-4617-8c37-8bfca1277d7c
Co,X/Diamond,20e4802b-40cd-48a5-80eb-ba6f12eef9a6
Co,X/FCC,a7dc043a-0a70-42bd-9b4e-fa2193efca23
Co,X/SC,6a1b2724-4654-4d8e-bf91-b4c79a224f4a
F,X/BCC,4595e58d-5fdd-473d-bf33-646c3ab3e133
F,X/Diamond,60f47284-b498-48b3-a959-261ab5878d91
F,X/FCC,86776280-1ef8-4535-b9cd-04c2fdeff5bf
F,X/SC,d7147fb6-8090-40df-a6fd-fc1d1b0435eb
Fe,X/BCC,b4e73ba3-a087-4393-8bfb-da0a397a5a8a
Fe,X/FCC,9dd078d8-d557-43bb-baa1-5e14abb9ffe4
Fe,X/SC,1977c69d-34ae-432f-ac7c-5ea47acfdf79
Ir,X/BCC,c620a24f-867e-4f53-baf5-5500cf14c303
Mn,X/BCC,3d0221f1-725a-4ba9-a1c3-db5240159321
Mn,X/SC,4b622199-d926-40e5-9c04-dbae49bd23e2
Ni,X/BCC,7d745a10-bda3-41ba-8d45-a03feccb5cb6
Ni,X/Diamond,b7e9d1a6-cf10-4545-80ad-3dd863c81887
Ni,X/FCC,a83bab89-bf0a-4036-b7de-b61058c80dc7
Ni,X/SC,4abc448f-bdf1-47c2-bc7f-318d85f90041
O,X/BCC,5ad7f37f-179a-41e9-9f0b-53ccafb11826
O,X/FCC,012eabb5-791d-4a7f-9ff9-bc0c987107e0
Pd,X/Diamond,20f2e6e1-fd01-4be9-a5dc-c35d42161a1f
Pd,X/FCC,f46071b1-c64c-44e9-acf5-24bdee37e1e5
Pt,X/Diamond,830db4b9-d5a1-4781-9cdc-95da53ada677
Rh,X/BCC,bf93336f-9eb1-4c4f-8b19-6f6382f4fe45
Sc,X/Diamond,e96ebab5-06f6-4a29-a8f9-34a075d2f19c
Sc,X/SC,926d46b7-606a-47f2-8755-21ea9459f0b9
Ti,X/Diamond,972f7320-23f8-4e2b-9525-e439ac082342
V,X/Diamond,18276434-e04e-40d8-a7fd-de76378db118
Y,X/SC,390c68c8-ee97-416e-a6a1-c0ebbbfa0623
Zr,X/Diamond,6fbdba7c-4291-4d0d-ab9e-18108961f52f
