#element,configuration,UUID
Ac,X/BCC,2c6edca9-d459-4de3-a6be-869a69d863d3
Bk,X/Diamond,6a408854-a611-44c8-ac34-9ad0aa4f1010
Ce,X/Diamond,6c1e0f0d-148e-4f15-9e6d-9e4e13b55f22
Cf,X/Diamond,88be0092-f962-4ab4-8f65-2a682d9b8581
Cf,X/FCC,2e8f2031-822c-4c21-b5ef-2e2d32a60cc3
Dy,X/BCC,61d774f1-19f1-4283-8af9-849873c44c2e
Dy,X/Diamond,a066cb69-9f4e-4e3e-9b7c-f47dfa8aa104
Dy,X/FCC,922c379d-c21d-4c7b-94fb-787d94d63e99
Dy,X/SC,216a9bd5-045f-4bd4-baa8-197fb960a841
Er,X/BCC,73202312-441f-4f95-867d-da2c6ff69261
Er,X/Diamond,a77cf417-fa56-4a37-90e6-a43df7dc3646
Er,X/FCC,3f99c260-590e-40ed-a8d6-82bc1d6a968b
Er,X/SC,f5972f6e-b65e-475d-9e73-f97daf8b81f2
Es,X/BCC,c7a7c5d8-5963-45d8-b37b-ea2d335dace7
Es,X/Diamond,65409699-dd34-4920-93bf-7e7a004f6575
Es,X/FCC,aef7d9cc-46f2-4fea-acfa-1a22ab92d002
Fm,X/BCC,42a8d092-625c-46a7-ad22-517a8fe7bc28
Fm,X/FCC,2fd96cec-6c5d-4a91-a2a3-cd22aa719d86
Fm,X/SC,26a9880d-441e-454d-b8eb-bf82c8344c9d
Gd,X/BCC,67d4b9d3-1adb-481b-823b-2862cfb4375d
Gd,X/FCC,5a5b0d63-d3ab-4c65-a66f-797ac3f71b0f
Ho,X/BCC,8c68ad51-6272-4bf2-99ae-39e2385e3125
Ho,X/FCC,28295ad5-bed8-44f6-9c53-27d253ebc815
Ho,X/SC,2904cd17-4841-4128-9d67-dcabbb3633d9
La,X/BCC,4e604986-4a7a-488f-8cac-db92e8472872
Md,X/BCC,922b65b5-5072-4e86-a7eb-877af91bc6e6
Md,X/Diamond,c3e49090-a6e4-4e44-8014-b0dcb155c5bd
Md,X/FCC,01cda672-4e01-4010-bc91-c88e2b0b17bb
Md,X/SC,9c1d6e2f-e8ab-4414-8a10-8e415ce05507
Nd,X/Diamond,2d7e912c-5fdf-4013-9225-1b23b6f6f3a0
Np,X/FCC,97c169a0-b8ab-4e55-8fcb-0874df4a6072
Pm,X/Diamond,caf7d15e-e12a-49c1-9b15-8946a89a48ba
Pr,X/BCC,b024c998-e1a6-4b89-9234-88b6502b2a3f
Pr,X/Diamond,650eb4ab-6ad3-415f-b20b-25e4dd58f66c
Pr,X/FCC,adadaabf-84b6-43ac-afdf-54af0bf130bf
Pt,X/Diamond,98e9b50c-f3a7-4309-bc2e-ba7bbd68ae0c
Tb,X/BCC,2fb3eb07-04ce-45c7-b24f-70b47e2fefee
Tb,X/Diamond,4a547a75-3fd4-4685-a098-81e1a18bcea1
Tb,X/FCC,f429e778-32ba-4280-bdb2-0f8a7c64dd55
Tb,X/SC,d300a59a-404d-4c3d-9d8f-f828f2936dfe
Tm,X/BCC,1ee3ef45-0bc1-4343-be6f-2bc80ca6dfa0
Tm,X/Diamond,9ff0dde7-3234-41ac-bfd0-86ee4dfebbc9
Tm,X/FCC,2c486d46-6263-4d9b-80d7-fb27ec57acf9
Tm,X/SC,79890e67-4a89-479b-af68-c19c22ee0cfc
U,X/Diamond,6439e4ad-ce06-4dca-9385-73a83de8b1cc
U,X/FCC,5c353feb-9a19-4240-a3a0-39ef33f231f8
