#element,configuration,UUID
Br,X/Diamond,5821fd3c-673d-48cf-8d78-256d284114a5
Cl,X/BCC,73eac1a1-8072-45ca-bb54-14d52afa3f16
Cl,X/Diamond,64a2d80f-2303-4bd2-96ad-48b43699ce92
Cl,X/FCC,6cddd674-ab6b-413e-b91f-f54c1948cd0d
Co,X/BCC,5cabf14d-2043-41c7-b835-6c84ca83706f
Co,X/Diamond,debce961-42a0-4104-8675-958c347776ce
Co,X/FCC,3014e664-f21e-49b2-b6ff-40adee85f230
Co,X/SC,9cb1c76d-1277-49fd-91a1-7ac81d11612b
F,X/BCC,b39dab2c-aefb-4f65-a6b3-5db5b7773289
F,X/Diamond,87afcdc7-db8c-444b-87d7-ed1185b4777d
F,X/FCC,75f5c665-dc0b-4d48-8283-ece97c1a4b27
F,X/SC,0f679aa1-46b9-4fa2-833a-c5b17df70f7b
Fe,X/BCC,b1a035af-e91e-421c-8514-32471375a07a
Fe,X/FCC,d6c4696b-e2fc-4b0f-aa27-6a9015023a45
Fe,X/SC,4a1e3964-8cfa-4fa5-b8eb-8f046caeab24
Ir,X/BCC,c70fa713-506a-4dfd-89a6-6b822a41575b
Mn,X/BCC,84689318-9d92-4377-aa88-5e01d0f4b41a
Mn,X/SC,904b09fd-becd-4f53-9990-2c941f06d346
Ni,X/BCC,63e926a2-5da6-4f7e-99d3-724901315fea
Ni,X/Diamond,dd293dc3-c552-477d-bc09-8dcce01ff04d
Ni,X/FCC,baa5a500-dc27-497b-bc6a-9e1f9b9025f1
Ni,X/SC,b3de71cf-afb0-47c0-8252-71ad148a78f3
O,X/BCC,7d0a18b4-19aa-465c-ae5d-c4ca55cad284
O,X/FCC,7e42cea5-81d4-40cd-b2d3-7a95aada964e
Pd,X/Diamond,77238fba-e5d2-48b6-a832-faf4b05d339b
Pd,X/FCC,ad77403d-a510-4441-9345-968c58863495
Pt,X/Diamond,54db8737-5dfa-427f-adde-efbdfb8279ec
Rh,X/BCC,0f52113a-e253-4016-a811-ec635e53b897
Sc,X/Diamond,2c3e0db0-41df-416a-9560-f748cdfec819
Sc,X/SC,ca2764a6-2f8a-40e2-950c-93894c5e66e3
Ti,X/Diamond,9c9699b9-5c71-4cf0-ab6e-5970b230acbd
V,X/Diamond,ed5c62e0-f10d-4d11-b134-e34812f94e3d
Y,X/SC,53a7f599-f3bd-45c8-bdad-7f3c1a2f3044
Zr,X/Diamond,23707905-816b-4481-a5de-c133220bd843
