#element,configuration,UUID
Ac,X/BCC,d0e95f71-aba9-4c2d-a395-1279359d7200
Ac,X/Diamond,a77a8e30-266c-4b16-9395-c46e74785313
Ac,X/FCC,2f7414fa-a7f0-48e0-b02a-3b9e35acb64b
Ac,X/SC,a06ab127-7464-4b1c-9530-7aa09edbde4d
Ag,X/BCC,3fee475d-9845-4c99-946d-360dbbd7ca3c
Ag,X/Diamond,4d6534aa-be96-4fcb-855c-59deb34e6d83
Ag,X/FCC,532117f9-bd8e-465e-a817-46c8bd8b2c5e
Ag,X/SC,4e60d5a8-941f-40f3-bfcc-f032c733306a
Al,X/BCC,c24507b8-216d-43f1-928f-7de8d3779a7c
Al,X/Diamond,450bdfea-1df1-4fc3-a393-78b17cfdb5f7
Al,X/FCC,c80ff85c-226b-4f7a-ae71-8bd9c8abacc3
Al,X/SC,0dc4f18c-e667-4577-af79-210461c5e236
Am,X/BCC,1766794a-ba07-4c5c-a250-3523ad92715a
Am,X/Diamond,482c005a-46a1-418f-bd08-92771d868b42
Am,X/FCC,4fbb98a9-700e-4dfa-89c0-9206188c0abb
Am,X/SC,4238df6d-ffa7-4466-a52d-4373035cc089
Ar,X/BCC,c699e250-08a0-4a36-8ee4-e155d2cffbc6
Ar,X/Diamond,8eb03f16-3980-4c40-a50a-3a470e39d7b7
Ar,X/FCC,a0d804d1-7639-478c-82a2-59677f160bed
Ar,X/SC,7828721c-b9ac-4eab-9e38-7924a1af0889
As,X/BCC,610dcf1e-7728-4de9-b794-7b3930632b1b
As,X/Diamond,094f4420-1769-417e-8350-8150bd1a51c1
As,X/FCC,b323bb74-1b15-4dad-8948-974492f4dbe5
As,X/SC,75c75f0d-ed57-443b-a758-5a8dda0861c4
At,X/BCC,5017da58-0bc7-4d21-8740-eace4a6d8739
At,X/Diamond,274b28ee-0811-4be7-87db-552a1be8f151
At,X/FCC,2180102c-7237-42b6-bb3a-82efc27290d8
At,X/SC,1ade1e2a-fdc2-476d-bd70-691947f73b29
Au,X/BCC,0179fe54-48ca-48c9-9549-865dafc782f6
Au,X/Diamond,6eefda74-9c8e-4e60-8cd9-7a0abbd6341d
Au,X/FCC,8d77c2db-1a83-4986-a141-ad97274f3107
Au,X/SC,43e5340d-5711-4881-a3e0-0a54cdfd647a
B,X/BCC,59c12496-9ab8-4219-8ca3-84720f070322
B,X/Diamond,20d16999-bcc2-4515-b406-08b875f4cbc4
B,X/FCC,12c8a5fb-8ffc-4f80-a332-7ec04eb4a7d2
B,X/SC,4501c517-9400-4e3d-815a-59a341785848
Ba,X/BCC,07bba26e-4662-415d-960b-128c2f905618
Ba,X/Diamond,5ff597e5-a7e6-467e-8164-1f8815e97def
Ba,X/FCC,5b471688-14aa-462d-ba1f-ef54752fb120
Ba,X/SC,1f9b88cc-eeb5-4450-848a-772072fdcd37
Be,X/BCC,d662a0fa-a34e-44d4-9e99-2fa50eb007e0
Be,X/Diamond,ed5a1ecf-8cb7-4a3b-b49f-18010e828bd5
Be,X/FCC,c8d27588-5bf5-4c5c-8160-6191b6f263f7
Be,X/SC,c5e37a21-23b3-41ab-91c5-6c92e5943a50
Bi,X/BCC,8a934e55-2410-443c-b798-6da4d6818cc9
Bi,X/Diamond,66da0827-5a4a-4c05-b082-8cd6d5d509df
Bi,X/FCC,eaf7c2b1-2bef-4c52-9fbf-086471604a30
Bi,X/SC,c0d12873-31e9-4d26-8c90-47807c9b4545
Bk,X/BCC,49cc27ed-62eb-4bc1-b9f5-80d2d6a994e8
Bk,X/Diamond,1e0df05d-c105-49dd-a2f7-b349ce10136f
Bk,X/FCC,ced8ef87-3ce7-478e-8f68-9a9131934fc0
Bk,X/SC,c1630c44-4704-44cd-8277-d4b88834c360
Br,X/BCC,52da830b-0701-4a11-b0a7-ec0cbdd114ed
Br,X/Diamond,28028ad9-ad5e-4685-b6fd-c4f63c394bcc
Br,X/FCC,894ffdb9-4b23-4981-8412-84c1aa57222a
Br,X/SC,1728fd7d-7ab6-4a4a-90b1-76859e19ae4b
C,X/BCC,058a9c19-d516-4817-a451-13fd297c4926
C,X/Diamond,1f56d532-ba06-4e5d-832b-a0e4d0d19aad
C,X/FCC,02ffa598-f2da-4e6a-b541-bdbe432273f2
C,X/SC,126283a8-ea59-4891-8e5c-8ea4be46328a
Ca,X/BCC,85fddef8-671d-42d3-a77e-abc012b63936
Ca,X/Diamond,edb0609d-8b31-4a8a-8b50-5b4621734154
Ca,X/FCC,f3f8a116-aff1-4b86-81da-e094c4ae526f
Ca,X/SC,987b07d5-3cef-436a-aa63-5931b72fe7a0
Cd,X/BCC,163d64c6-d4cf-4c5e-89d4-62a6bdb03b53
Cd,X/Diamond,7aac9fc4-b73c-432e-a260-486b8c357f5b
Cd,X/FCC,6ec2841a-dda5-4be9-8032-58a56c2c10d3
Cd,X/SC,4bbbf282-5654-4452-80c3-36ea48e93141
Ce,X/BCC,50d73eb4-45ac-4229-be14-31ea49afa681
