#element,configuration,UUID
Ac,X2O,b580caa4-45bd-436e-9dff-c526fcf7952c
Ac,X2O3,85a65d9a-1834-4673-925e-f1dd9f1e5c3a
Ac,X2O5,f7f2738b-3f2a-4e61-9a50-e0def8662ed8
Ac,XO,abaa2246-e403-4ede-a888-f1bef4f1b78a
Ac,XO2,501275c5-140d-43da-9e45-58609713997c
Ac,XO3,11f71d12-af1f-4b89-9f5e-423f93ae5102
Ag,X2O,133b5a9c-50ca-4574-ac59-2eca7fc6a107
Ag,X2O3,5e2acb0c-4c08-45d7-8ab3-f38a32c73332
Ag,X2O5,4369acc0-8e95-45a2-91b9-290e8fb4caf5
Ag,XO,f94f69a5-ca58-426f-bbb6-45a77b8545d4
Ag,XO2,51c00346-a140-473f-ab2f-494380f5dbb4
Ag,XO3,9122c771-649a-42b7-ad1b-94d0c7433e53
Al,X2O,2c6b3429-3196-4872-9322-fbda17329bb9
Al,X2O3,146f7cf7-5a16-4be0-aea2-0431cfa3d941
Al,X2O5,2980d647-07aa-4af4-8d66-73da45aa7b4d
Al,XO,aacdcd0e-167e-4e74-96bd-af86c329da40
Al,XO2,8402f813-e7f1-4453-a8be-24efd4959790
Al,XO3,e3ba4a9b-bb39-4a04-804f-906bdb7fb05b
Am,X2O,476f133e-92c3-4d5d-bd5f-3b8bd7b0a607
Am,X2O3,d155db3c-26d1-41ce-ac53-31638282e2e0
Am,X2O5,f14f1c73-1523-4d23-9afd-c4f8a50e1cf9
Am,XO,18e1aaf4-d379-42f6-bbec-66fb9af668b4
Am,XO2,1340e635-deed-4345-ad5c-6a80b9834345
Am,XO3,a9ba1d92-5caa-40be-bd4c-57530765373a
Ar,X2O,a1edf835-adfe-45d7-a980-a570abb1d4be
Ar,X2O3,00642825-00cc-4b04-b52b-11c7a8584667
Ar,X2O5,7fbdf3b9-3670-4148-927c-14902d455def
Ar,XO,8d19b326-a358-4bcc-a9b4-9186a83492e7
Ar,XO2,84e6c856-26a9-4ac2-9cb7-4da4e6b20cdd
Ar,XO3,7d9453b8-7de1-48dd-a08f-ff30e016ae51
As,X2O,0070a6ea-66f1-4836-a3d4-962a0ee4b264
As,X2O3,e11692d8-8305-425c-93cc-276cc98dc02a
As,X2O5,efd48406-1a96-488c-b63d-02b281bb10ed
As,XO,d5768638-612b-44fd-9efc-52c8b7cd4608
As,XO2,14c1474f-5858-486c-a358-06a54f831927
As,XO3,d2454754-de43-4981-9b25-ac78754a6af6
At,X2O,9910893d-8ccf-42e6-b22c-b54531e19586
At,X2O3,ffba6681-6109-458f-8451-c2b01dceb6e8
At,X2O5,b4b36770-d3e0-47cf-b96e-89e52259410e
At,XO,c3f17141-6b5b-4d0a-a80e-50f6812ae3fa
At,XO2,f4825928-65a9-4e5a-b07d-03c8a7b2ee07
At,XO3,2599db80-453e-46b0-9b99-7671b23cfe3b
Au,X2O,0e4963c5-5842-41d3-aee2-eeef83536bb1
Au,X2O3,d7a0d66c-ed00-4a01-9992-97960de88691
Au,X2O5,12259737-9a30-48ab-bd1c-8fb42d9233cf
Au,XO,e9fc0c3a-f369-44c5-a2ad-c72a83fb7828
Au,XO2,e8cbefbb-2fb7-40ff-8a63-536c01d3393f
Au,XO3,901ae0cf-6def-4e72-afff-9d17270a89d5
B,X2O,f145fd29-4d28-48a1-ab20-a4e6cb18a585
B,X2O3,e613b2c7-c977-4e4a-b696-95a97e7f6696
B,X2O5,2cd160c9-285f-47e7-a8eb-cc3510c58ed9
B,XO,d509d347-42f3-434a-bd19-1d6a90bf99ca
B,XO2,8fbfa23c-ceb9-4c5c-bef0-3cf650780f0b
B,XO3,831e3b45-9a7e-4a33-81aa-bcf558146a78
Ba,X2O,840f834a-edad-46cc-ad11-9e9b37c66269
Ba,X2O3,f71d4587-53d8-4eba-a72a-42fb03abc05a
Ba,X2O5,a30ea9cb-ef14-4fab-b672-ef47964d733c
Ba,XO,83aa30f7-8ab0-4648-9e7d-1882e5113127
Ba,XO2,c9f7588b-b603-4080-9c52-7110b47f7691
Ba,XO3,ffad24e3-bb52-4f24-89af-70b38b925e88
Be,X2O,75589c8a-fe85-416f-a662-e397fe17b970
Be,X2O3,addac31c-eac2-46ec-8021-6256cf153c8b
Be,X2O5,81584418-ed05-4685-8013-1f063ab2db5e
Be,XO,a0fdf7f3-8632-4f46-aa15-a7847f5e6303
Be,XO2,dac3d2ae-8ae9-462e-9fbb-00db3db90434
Be,XO3,d2c00dec-8fbc-4e62-80cd-d87755653f9f
Bi,X2O,cb3f7e0a-8a01-45f7-8ddc-ce96bf2de11e
Bi,X2O3,f56b2eb4-89d2-4c93-9155-2656378fab04
Bi,X2O5,003a3257-d77b-4c18-8d6b-78ab34493c49
Bi,XO,49a14b01-95d0-4d0a-9fe7-428ac1845501
Bi,XO2,7e473da3-fdb4-4f4b-9512-fc735bd2d824
Bi,XO3,ae28652a-cf4a-45a2-8ae9-44ee46c88fb9
Br,X2O,043fc6b2-8ee3-48a4-89ff-76a6fcdafd76
Br,X2O3,05c33d87-6350-4867-a354-9c07d662c6cb
Br,X2O5,07873d49-2f0a-421b-a142-c2abc70ec4d2
Br,XO,99150af0-1a74-4df7-a46e-b6c692cef724
Br,XO2,ffcbcfa1-84b0-4b54-a6fe-f7d4eb93cbcf
Br,XO3,1d59af47-d7cd-4b07-b126-7b3c913b9909
C,X2O,a71225d9-6e57-46fa-98a5-982db32ed1da
C,X2O3,9e581df8-e3ca-48e4-81f0-b1e696c1de3e
C,X2O5,ef25a50a-133b-4d20-af8a-e4a6f5cd8445
C,XO,4314ff48-9921-4017-b4e6-2d26e55005d1
C,XO2,4d4548c5-f3bf-4001-bef7-09a9baf72ad7
C,XO3,3bd321bd-2d00-4f71-a567-895d1782aee1
Ca,X2O,27adb5b0-48e6-4c97-8d80-2b376651bc95
Ca,X2O3,b8280a9f-5ad1-4f94-8e9e-e0e4f0f417ce
Ca,X2O5,2fe72a1c-d5b1-488b-ae00-532a3e16ba45
Ca,XO,7e36ec88-d094-495f-b827-7067c1c9d003
Ca,XO2,be35f15e-830a-47a6-a6a3-d04f59dbb9ac
Ca,XO3,fae968a9-4bc3-4259-b612-a71902726eda
Cd,X2O,569a78df-bae5-40a3-874f-021cb32e47bb
Cd,X2O3,30787066-9d4c-4dcc-adb7-72ae2fb030f2
Cd,X2O5,ea84e56d-47c6-41d4-b73e-7938a47aceb5
Cd,XO,620ef8c3-8a65-41a0-9e46-2e6f2ab31e74
Cd,XO2,43bc4e66-33c4-4b0c-b180-baf3e1660c38
Cd,XO3,da468a29-145d-4c46-98e1-edc807ecfd6b
Ce,X2O,3392e661-ff2b-4637-8f1b-0f8c078e6aa2
Ce,X2O3,493235ec-daa9-419d-96f3-62c90647ff74
Ce,X2O5,f49de6a2-5170-443d-89a5-ccbe7e6a7c7d
Ce,XO,e26e2417-108b-4d24-8768-f011ad1d812e
Ce,XO2,b692a0e9-a9fa-49aa-a7a7-de347fb459f7
Ce,XO3,0e460286-33d4-4e7d-9bf7-3f93523b5bdb
Cl,X2O,95fa149c-0b1f-4293-9a59-65f89e2d001a
Cl,X2O3,0458e1ab-ef3c-4f8c-9714-35245320609a
Cl,X2O5,53c35cd4-ef07-4a28-b33e-97c78f1c1fcc
Cl,XO,65a04b3e-0eed-408d-aee8-86ee2de1aa09
Cl,XO2,6206e37e-fb5c-416b-b9dd-210d17cdfeab
Cl,XO3,d491b731-fd32-46f7-afea-32a0746c71a6
Cm,X2O,6f7ddf3a-f6b1-4f8e-b437-7e630452cbc7
Cm,X2O3,e2649500-e2d0-40ac-9eca-30d22e4c77ca
Cm,X2O5,18057b0e-d16a-4dfa-80d8-795e892539ee
Cm,XO,f6a166b0-5649-4c4d-bb43-988d9ba14dec
Cm,XO2,25d2b38b-2e63-48cb-aa02-394611632130
Cm,XO3,b9e6b20c-7d79-4520-b1e3-15dfc72ec86f
Co,X2O,4d4eef33-60ae-4ab5-856e-b58a56cc8f0e
Co,X2O3,394d5da0-6a66-458c-bfcb-949722c950b9
