#element,configuration,UUID
Ac,X2O,8039c39e-569e-4385-b1b4-e51408cef504
Ac,X2O3,f864247a-650c-491a-b29d-f0c0da73b6b2
Ac,X2O5,b137c388-83ad-48e4-9e7e-f86cc2f851da
Ac,XO,6e13d27c-474a-4e2e-9ab5-94ed59371807
Ac,XO2,3949a561-d67a-4393-81d4-a6cb6c2d9f93
Ac,XO3,6131a8a3-c982-4688-a12a-056d6fc4c6a6
Ag,X2O,54f00eaf-c3c3-4f4f-958f-0e49cdca0642
Ag,X2O3,330d4880-9200-4199-a25d-4dce086be57e
Ag,X2O5,f5846dab-3868-4aee-beb4-5a1c3e11ba1e
Ag,XO,d1d29f70-fbeb-4f37-af0a-97171948565c
Ag,XO2,263b28b6-e945-4a03-811e-ff39b4b3a71d
Ag,XO3,358dff49-6f45-4b99-b307-67eedcc37339
Al,X2O,576eda2f-5f3a-43e2-b33c-06ef7613de6f
Al,X2O3,37f768a8-5669-4387-9e38-d8feb7b706f7
Al,X2O5,91c0cf57-80a3-4b81-81cf-87a356e990a7
Al,XO,4ccf444d-9769-4ff8-9d8e-930661bb387b
Al,XO2,eaceb715-aa7a-469e-abcf-3074e7ee1449
Al,XO3,056aed8b-7f48-448e-aa4c-127f041e1c8f
Am,X2O,e5d06cbf-ab6a-4416-bab6-18c5e5115271
Am,X2O3,7c605796-6539-45d3-9b4e-23add3492514
Am,X2O5,18b1d7f1-945d-465d-b325-48e8ea998f00
Am,XO,5267a3bc-c226-40af-9e70-1aaf92cea49a
Am,XO2,8604cb9c-5d49-4b5f-bf0c-b298f8ad7e6b
Am,XO3,3044df15-3503-4506-a924-59fba47572e7
Ar,X2O,b7ea9cc5-1ace-4a27-9aed-15b3e99830ac
Ar,X2O3,799fc572-d995-435d-9da6-f8e5477b767f
Ar,X2O5,01d81f71-6562-4d96-8483-2222f0ec3848
Ar,XO,012ffbdd-eafc-437f-a599-9c1e86ab0a46
Ar,XO2,ad8817e5-a15f-4c40-ab03-654d5ece9321
Ar,XO3,ea61dd7b-0540-4fc7-ba41-1ff4cd2b6abb
As,X2O,ee5a3da8-2b21-4607-ba45-2301b7d65266
As,X2O3,dc4d85cc-0b2a-4d27-aed4-cb9507fa5d66
As,X2O5,5123aeb2-6a3c-4a0e-b895-e0c6eb21af53
As,XO,14548089-8f99-4391-8030-72da90ecf09a
As,XO2,6b76e86c-a6cc-42ae-9620-95a1e674ce3e
As,XO3,91ae3a97-7af4-4620-889a-a45facd20d9b
At,X2O,d579ca14-26d0-4c29-b9ce-8a67c6c2dda5
At,X2O3,03855f95-fd8f-420c-8a40-f47b69c4deae
At,X2O5,151d509b-b40d-46f3-8af8-7c1e76698e49
At,XO,8438cad2-22a8-4117-8130-782119041dbb
At,XO2,f9b309f9-0643-45d4-b65a-4f988821aad8
At,XO3,3083e1bf-b7d7-496b-af0c-22ad716697e6
Au,X2O,88061571-8821-4d24-970c-65170142cc05
Au,X2O3,d1c6db15-66b3-49dd-bb2b-2b65414b92fc
Au,X2O5,3870c357-1387-4fb4-9e31-79b7e7d48fc5
Au,XO,ffe43633-7505-44df-a287-8a2f218ccb23
Au,XO2,5892f3be-fbc7-45d1-abed-9111224c8c13
Au,XO3,569d5e70-c203-4dc6-a3c8-4b935cbd7e21
B,X2O,126837a6-8f2b-44bb-b2b4-968c10f4eb03
B,X2O3,7625e839-fac2-4850-b9d7-e7fa21510268
B,X2O5,5c181447-bbe7-4425-93db-61d040704471
B,XO,b8891b26-8425-43f3-92c2-509ec000eb01
B,XO2,240453f3-525b-43ce-a102-66de8ed70002
B,XO3,5457168c-612e-486c-964f-4932fee31798
Ba,X2O,862daab7-f187-4641-9c7d-70940054d0d3
Ba,X2O3,7f613583-95e0-46fb-9a32-28ddea2aaf1e
Ba,X2O5,b21eba31-f78c-4529-8644-7099a3b18903
Ba,XO,666347f4-1694-4e5f-b81d-f06f0ee54cd5
Ba,XO2,3de47000-1460-45e4-878a-48fc8603049a
Ba,XO3,66b4fc7f-aae5-457c-8347-eddcef208c0a
Be,X2O,39a56ed5-361a-412a-a135-a5d775e48e8f
Be,X2O3,53bc4fcd-8cac-493c-9889-5175e565f208
Be,X2O5,44410e5f-6ef6-4fef-bee1-655842b2023f
Be,XO,7bc09a65-df9a-4b21-85e4-971a1c09df8f
Be,XO2,9288f4ff-26b6-4f69-be9c-cf60ab97f1a0
Be,XO3,62648a6e-59e7-4aff-9f25-d7d52dd75b30
Bi,X2O,c2b7f732-4ca9-4a2e-9531-cf97625bac2a
Bi,X2O3,ca9c0522-687f-4cd5-b945-70229d961247
Bi,X2O5,8bd3b883-bd2d-4cfd-990c-2bde23291bca
Bi,XO,73894094-fd67-4fe3-924b-ab027d3e6fec
Bi,XO2,d1404492-dc6a-4fd2-a580-3dbf590b0f99
Bi,XO3,d1b0c29f-8f7c-46da-a501-6e54e336f64c
Bk,X2O,825bd2b8-919e-448b-b225-25e60c8774b7
Bk,X2O3,41a0e2bd-8bdc-447f-bb93-06f097166140
Bk,X2O5,cfa7630b-81ae-4949-a4b5-27faa9537988
Bk,XO,d1753b60-0a13-4ae0-bcde-a1c7b836cb5b
Bk,XO2,c1e76146-7daf-483f-9627-702418c8f7b1
Bk,XO3,da451567-ce20-4f8a-8d6b-4141b0a14f80
Br,X2O,7bc03a4a-96b2-47de-afca-0e4601c85b37
Br,X2O3,29f8fabc-0b55-4317-997c-a68c4da02f58
Br,X2O5,22faceda-5b61-48e4-aace-3bee32e9a1b0
Br,XO,2cb094d5-3403-4d30-833d-c04361ea55f3
Br,XO2,88326d2a-ed75-46cf-9a14-6e25c062261b
Br,XO3,31f63fb2-b7bf-419b-83c5-b4d8441660ca
C,X2O,9e31c102-3183-42ce-b0ed-735c75c68cfb
C,X2O3,5fda0f4f-6512-477b-afbf-cbcd57ef7a3a
C,X2O5,9043c37b-f9b1-42c2-b033-1d41385799f6
C,XO,e5e7c6bd-bdd7-453e-bf4a-7efdaa65ad01
C,XO2,68d46620-5a3a-4915-87aa-9d478adca764
C,XO3,c2c9b21d-96b1-4ae3-ba52-a1b6237807e6
Ca,X2O,11ebcaeb-0dbf-4cde-bee6-7bf5eaec0ccd
Ca,X2O3,33f009b2-43cb-4e46-be7e-746693c2f5ca
Ca,X2O5,3200dd18-7c28-49e8-9154-8845382e3bca
Ca,XO,8193862b-790f-40bf-b2af-1d148b6ed2b6
Ca,XO2,49c65544-643a-4a50-9bea-1328610c5df5
Ca,XO3,f13c74e4-6a24-429d-992c-5bbe998633ca
Cd,X2O,d0f5a7cb-26fa-4736-8078-22e81a821e61
Cd,X2O3,527fd588-e505-4032-b5c3-3f49131a559f
Cd,X2O5,a49ea881-5f74-4d85-ad81-5a96fb0538c9
Cd,XO,7af115b0-b513-4bc4-8441-9aa9939a4310
Cd,XO2,b136f3e7-b7c1-4eda-9c68-d6bee6fe7447
Cd,XO3,3b63aa2c-f3f0-4839-8cfe-bc797004f326
Ce,X2O,a7a21e2b-c048-4a9a-8c13-7116a0c2e968
Ce,X2O3,44c08a76-c156-46bd-8da6-5f2646cdb046
Ce,X2O5,f5982984-6620-4219-8b43-86afc6f3bf83
