#element,configuration,UUID
Ac,X2O,0fb0637c-2e9f-4970-b227-6de097a8525c
Ac,X2O3,80abcac9-a4ce-4f06-a710-e965445c9fce
Ac,X2O5,37020d25-8610-4ca4-9378-d4393ea86580
Ac,XO,893c5e92-09da-4433-882d-3fc68a1b344b
Ac,XO2,5f04c844-ee30-45af-952a-898f4854d910
Ac,XO3,0632084f-2df7-4bd9-b927-7869e4c00dec
Ag,X2O,6c8e6f97-4130-445a-8879-e12810e12058
Ag,X2O3,d903cf3e-d6e4-4ec4-b963-4a445d95d6a3
Ag,X2O5,b1d0c7fd-9b16-41be-8eea-fc253a0666c4
Ag,XO,e5cede23-b968-4a40-bac0-ea0187c35e55
Ag,XO2,749c1f30-660e-4c3b-a7ed-6fe3e3be1526
Ag,XO3,e83d7259-7ac2-4c3b-8ec1-788ed2e3c126
Al,X2O,f3015bcc-13b7-4e7f-a09b-e0aeeb00b1ff
Al,X2O3,80333e07-a082-4410-aecb-30727a85dcd5
Al,X2O5,a3ad3c2f-7d7e-46b8-b596-98ff97ef395a
Al,XO,027f5240-3d20-4322-b11f-51e5bb3a0421
Al,XO2,c57beab7-96a5-4824-a044-b53c9bcf9d85
Al,XO3,ce76f75f-2768-434e-a80f-3887a59a93b6
Am,X2O,0138a632-b6c6-40cf-af69-18e2093dd8b3
Am,X2O3,ea006572-76b6-48e3-9405-4e333d7b1199
Am,X2O5,ab62841f-9af4-45da-937a-92755c1dcc3c
Am,XO,09aa98c2-9d2a-433f-8864-6bbcfc0a657e
Am,XO2,94010ac7-8a36-49b2-bd40-cc98f0ad3b9d
Am,XO3,08b888db-9c09-4bbb-9388-10aaf6fc2ca5
Ar,X2O,937abb72-4c8e-47a5-a390-683fd1ff2ca8
Ar,X2O3,7cd53c39-b26a-45d1-8189-c5351d1f416b
Ar,X2O5,a6441758-5335-49d2-a4b5-bb9fee8923bf
Ar,XO,6b495710-ba7b-4c0d-8266-7a906bca5210
Ar,XO2,8740c72b-362e-4c6e-8e52-61050b2769e6
Ar,XO3,e32fd9b7-1871-4bbd-998a-7ed1cab0cead
As,X2O,95b05ccd-5b5e-4e03-82de-bdb6435a8e57
As,X2O3,0210ad6e-8490-4db9-b0a4-62178c3f5dd9
As,X2O5,99ae42ac-af77-4c36-975f-756de6a6d3ce
As,XO,273c01d2-beba-42fb-9ba1-b828643d58d1
As,XO2,297055ce-3388-4dfa-a821-d5fb84da8833
As,XO3,dd623942-82b3-4a96-8ee6-33c3d45f853c
At,X2O,609e7db4-f7d2-4670-9162-2bd334de23b4
At,X2O3,4754691f-f123-4983-948f-c010fd964192
At,X2O5,c9a68e89-1274-4e9f-9378-55ef3e7df6a7
At,XO,cb7f9663-7563-4852-ac26-4098c5c23a48
At,XO2,dfdc23de-a407-46d1-8ac9-ed095d386478
At,XO3,3a93b506-0f8e-4fef-ac96-97b88fa271c1
Au,X2O,09811c6c-5303-4b4a-8ef1-b039aeac88f4
Au,X2O3,d0989cec-af63-49c6-83fd-d9f684ba429c
Au,X2O5,19f12d5b-b216-4ebe-b5df-b7c80004314b
Au,XO,1fe9c46e-8859-49be-921e-ebe23caa1be8
Au,XO2,a26e2242-edea-4a98-82ec-7a1857b58d16
Au,XO3,46ac94c2-4927-4b6f-8db7-30455b828115
B,X2O,8fc6e93c-168f-4dac-849e-8e38531f12a4
B,X2O3,5776416c-5119-439a-b8b5-643ab7649fda
B,X2O5,0f62ed94-098f-4088-8842-4494b7a084df
B,XO,0414e55c-9b55-41e7-8607-de3619ebcea1
B,XO2,487d43ba-d143-45f0-8fb7-6a7908c6a591
B,XO3,8035778f-aa6f-4924-a929-19d349519ac2
Ba,X2O,41d8fda3-6dff-4667-91a1-5a8813e71c81
Ba,X2O3,1fa35439-48fc-4db4-ab1c-e715d6251702
Ba,X2O5,aa39ebca-49e6-4ba9-85ca-92f516d824e4
Ba,XO,d9623b1a-ea85-48a1-b007-235f096277fa
Ba,XO2,7df76050-f329-4249-bd7e-500a0a0f0cf7
Ba,XO3,4fc69486-62f4-435f-8eab-c3cb64ee5349
Be,X2O,ae31e8f4-0704-4ad3-9939-4af269d1b4cc
Be,X2O3,a305b3e7-7a70-4c15-b680-f31af6a3039b
Be,X2O5,a4ac3f30-73a8-4120-b430-7c40fd56ebb0
Be,XO,efe37bdf-5049-49ec-8929-6e705fd1a3b7
Be,XO2,22537f40-68bd-4736-8a2a-c4c8621258f9
Be,XO3,42f1dcc6-0de5-4317-bd36-9e38e7e0238b
Bi,X2O,b8576111-4400-41e6-9be0-8df2da503ff4
Bi,X2O3,c6ea2b9a-4f6f-432b-aee3-0d79fa397cf8
Bi,X2O5,3f52f66e-08f0-4c59-9ab0-8baa7f91f977
Bi,XO,ea8a0db5-66cf-416d-90b2-23ca4f159deb
Bi,XO2,1381ee5b-aed3-41c3-86e8-751a4b9350f6
Bi,XO3,c4fd9257-72f9-411f-8887-2b0359263bfe
Bk,X2O,bce66bd2-b7f5-4d79-8b2e-3c25073dbb55
Bk,X2O3,4cdabe78-923a-4c45-bcbd-b1b2c6ccf417
Bk,X2O5,3232f649-6146-495d-ad6c-6914ccb443ad
Bk,XO,1b9489a5-650c-4f0a-a973-388df35ae3fb
Bk,XO2,d3706f8f-0492-4df5-94c1-0f15dfe4aa79
Bk,XO3,cc337f58-2354-4e18-b8df-2d8d7e33ec77
Br,X2O,c2ec15f7-8621-4af3-933d-6da8272a5f5f
Br,X2O3,49f33aad-9bf6-47c9-90ac-64165812c456
Br,X2O5,76e43147-32fb-464f-a8b6-2d1da746d6a1
Br,XO,47ded66c-6d28-44c6-b53f-7e9303ba1758
Br,XO2,12a5bd1e-97f3-4146-b508-7bf553ca9a6f
Br,XO3,f9512850-daf3-4025-b575-23e597f274a2
C,X2O,f0b1a884-3bae-4ede-854c-bfcbc79d040e
C,X2O3,3616c11d-c24e-4af8-ad15-796a547e8893
C,X2O5,754b9f89-63ae-4589-b090-72d485244dbc
C,XO,e0fd09f2-2b9d-4a1e-8b21-e66217d7cdd2
C,XO2,32bbcd81-37d0-439d-be3c-2769e04cd82a
C,XO3,d528972a-dc69-4af0-bdb3-67e2a10195b0
Ca,X2O,f38f8e62-2e1b-4537-a09f-b472f630127c
Ca,X2O3,6f9f7bad-fdac-420d-b455-f589d32e2a9e
Ca,X2O5,bbbb24fd-762d-4953-a932-bf9d53068aa8
Ca,XO,7d038543-dd6e-4676-9241-f1e20ceba3a6
Ca,XO2,080bbbcb-319a-42ba-b5f0-1b506a206d17
Ca,XO3,3270e77f-5376-45f4-ac18-2e8f4b0b08fb
Cd,X2O,0eb90660-376d-4971-8dba-68b0abe2134e
Cd,X2O3,29cb29e4-9ccf-4859-8a5b-9c7ba4048c9e
Cd,X2O5,2438330e-ff80-497c-9988-77750c4dee69
Cd,XO,39420386-b4ee-473e-aeef-f48517f2e4c0
Cd,XO2,6fb243fa-5244-4cab-afc1-540c018a7950
Cd,XO3,b621bff8-b6df-4983-bf54-0e117a0ea3ab
Ce,X2O,a620c38e-0cb0-421b-b185-a08283279e3a
Ce,X2O3,579d5769-c298-4f3a-aa81-96189cd581e7
Ce,X2O5,dd5b6ad9-c56b-4bb1-b04a-5bbd034de4dc
