#element,configuration,UUID
Ac,X2O,4a439fcb-ecc7-45e6-8e2c-0eaa72ddd43c
Ac,X2O3,b1dd6de1-8e14-4c3d-bf48-6d74af64b627
Ac,X2O5,14e4d732-a241-4a1d-8335-6238fdb7cf5d
Ac,XO,57ac7f2e-5986-4c90-8d4e-f0793de835ec
Ac,XO2,bc5f73d5-0ece-4494-a886-3b20f017f7a7
Ac,XO3,166d7195-2058-41a0-a323-54f8ed9645a7
Ag,X2O,59187ca7-7470-47dd-a15c-ca1e4a644a7c
Ag,X2O3,0ef73076-eb49-4d5f-a4d2-7807465a5ad5
Ag,X2O5,95cc16ab-a4da-401f-b034-746613fc39a9
Ag,XO,a41918b2-1dca-411a-894f-55154ad9aaf1
Ag,XO2,74ebe2e4-0266-4ff8-babf-ab1c486da912
Ag,XO3,34675886-9374-4790-9dc4-40037f7e0af4
Al,X2O,f8cf4af4-9e0f-46b4-82aa-ed1c8f530496
Al,X2O3,ff0f994c-6c9b-444f-84c3-2d1a11fb48db
Al,X2O5,2bb18e70-5096-482f-80b4-5d1db74f4879
Al,XO,48d76d0a-1416-4178-933e-cd55ff7ca707
Al,XO2,0fbf1b15-a460-4d7f-a377-8c1596d3ad88
Al,XO3,1b561a91-80ef-4297-990a-c2147ef8b43d
Am,X2O,02689f29-d782-44f9-9bf6-46d2050d0872
Am,X2O3,3c4e5bba-dda8-4343-a48d-3afa1ab7e31a
Am,X2O5,6ea2c0a1-01e4-4565-a8af-86ff57c6ac22
Am,XO,23089df6-4dc9-4704-be5d-9dada52203ef
Am,XO2,2a4ed9bc-2cf8-4f13-8150-d7e877badaf2
Am,XO3,ffa4afb4-5188-4f65-bc19-69324e6ebfc8
Ar,X2O,1011037b-88f4-4653-8dd9-b444335bacb2
Ar,X2O3,9fac2d9d-4079-4b44-99b6-7e6142f204e1
Ar,X2O5,3b607705-fcd5-4a89-8681-b578e61dfc90
Ar,XO,3fcb8e42-303a-4923-bde4-96023df524db
Ar,XO2,9a62f06d-f0d4-47fc-b7c4-d1edad380034
Ar,XO3,0c38fdd6-66b6-4ed4-b94a-e6cc25ea3392
As,X2O,0119b503-7817-4f94-a1f6-e86e6787f7b8
As,X2O3,5d53895e-3987-484e-ad94-7e42d7f15a39
As,X2O5,17bed75f-2dc0-45fc-b25d-2b30f5232841
As,XO,4f9c8ed0-b2f7-4503-8685-0d42675bcb90
As,XO2,d79dc7e2-6204-476b-9ce3-08c3caeea68a
As,XO3,cdfd76bf-c23c-4f13-99f4-2318ba0c4209
At,X2O,a96dc4d7-d7c9-494e-b2cf-90cff63603f4
At,X2O3,34813632-9fdb-471b-a85d-00215d391fa5
At,X2O5,6f05e5df-21f9-4b0c-b5df-5e8f4f022265
At,XO,f521ba94-3af1-42ae-926d-344f16e12af8
At,XO2,6514e914-13ea-414e-ae00-f57635b4e4e7
At,XO3,8237f4ca-21f6-4304-bce4-c04f6392b1a0
Au,X2O,eee4e918-cff8-4e21-9238-e9cd69aabea4
Au,X2O3,2e116605-5717-4e27-ad35-1fc579a3d764
Au,X2O5,6f003141-431a-4102-ba22-cfe4953b3a4e
Au,XO,987d59b3-e431-466a-ac11-0e914bb77966
Au,XO2,7da37057-b619-4221-8bbb-2b25e3f80dbe
Au,XO3,639420b7-0230-4eb7-9147-992559114cf3
B,X2O,85b709d2-7965-4a33-bc6f-b9b0719632c9
B,X2O3,d5f3bcf3-b612-46bd-936e-3b983d493efa
B,X2O5,ae469cf1-1cab-4ece-b5fd-cb77c48ee4a2
B,XO,eb5cd3c3-a6a2-4cdb-b52a-16f59e0de01e
B,XO2,3a548d4c-57b2-4317-805f-08035817144a
B,XO3,e02e4eea-5b73-40dc-a06f-360188e72e7d
Ba,X2O,99b04e61-a9cc-477e-a852-e135423bf328
Ba,X2O3,cd8d8dd8-50a1-4398-8f75-7e782cff0ccd
Ba,X2O5,bfcfd3e6-d955-4690-b188-24becfcc4a20
Ba,XO,6bf5f3d9-5e6c-4764-8df2-21a03b1fce93
Ba,XO2,8b3b76ae-2dcc-4a50-930c-7a8cb0a576fe
Ba,XO3,9fe01c72-4a0d-411d-a875-399b9cbadfef
Be,X2O,155aef09-08ab-412b-8e27-fefff3f9d43a
Be,X2O3,e12e75c1-7e94-45ee-b17f-95e63d863a0f
Be,X2O5,81a6ec0a-e2c2-4da9-ba06-d2a122348fbc
Be,XO,b3d16c4e-51db-47df-b758-584b4d27c7c2
Be,XO2,39ea9590-3921-4af3-a703-1f46cd13ce09
Be,XO3,73b477ee-c0e2-4adf-b7f1-49aaa3e0b9af
Bi,X2O,e02d0a42-e764-407a-855e-ad7cf0ab3290
Bi,X2O3,84a612fa-b040-4fbc-8218-0181b8da8ad9
Bi,X2O5,9c2ad0a2-87ad-4fa4-b528-4a31ef78e39b
Bi,XO,32777ac4-86db-4670-9e67-98319e2d143b
Bi,XO2,cad44652-b2e3-4e2c-bd19-c76df5406012
Bi,XO3,451990c3-e35f-4243-ad1f-233346380f9f
Bk,X2O,4fbf2ed9-0db6-4d02-9349-ad8e13576ba8
Bk,X2O3,5b9ce1d3-a12d-4bbd-8354-016fa19b65b7
Bk,X2O5,be228716-388b-4ee7-9550-752c3de9c4c0
Bk,XO,c9c0bf6a-6a87-404f-bc88-e89f30cdc3c7
Bk,XO2,c85e4e84-6737-45cc-bbcc-a05121bd427a
Bk,XO3,0cf042a1-7cd6-4a12-a2e7-5568222d32eb
Br,X2O,85ec3e76-9e44-400c-9687-b99ea46f3137
Br,X2O3,10d19ece-bfa4-4898-8e6c-30d11d1e0e73
Br,X2O5,06932a4a-96b9-4d1c-8a7a-ae81eb10f7cc
Br,XO,4b0d090f-3e2f-4aa8-ad56-7e027ad200be
Br,XO2,c2a63c75-bb1f-45bf-b8f0-2e8a8db82c97
Br,XO3,7c937ec2-016e-4a4a-b64e-cd9726066e9a
C,X2O,7906e4b0-bcf3-4ac6-86a7-68ac6415dd1d
C,X2O3,3d8dcac4-1379-4c63-a900-a4a2387b5e54
C,X2O5,9dab4ebc-b33e-4570-8dd6-53018d1ac86c
C,XO,d7b3231b-4611-47dc-8c30-2b19ac413b20
C,XO2,f84db11a-a279-47a9-a5e4-b05cd98d3481
C,XO3,69d74f5f-5542-4c6b-b199-dfb64dc09b92
Ca,X2O,61fc2af3-b98d-4850-9104-dbaf4644e7d1
Ca,X2O3,a687b523-269f-445f-8275-de3623a3aefb
Ca,X2O5,258ab43e-8e2b-4f11-872a-2fd98bfbf847
Ca,XO,f63d6c10-6f06-4b2d-addf-5f6ee41d2873
Ca,XO2,6581eeb5-c030-4aba-b663-81a5071d40e4
