#element,configuration,UUID
Bk,X2O,74c48af6-1901-4b2c-b47e-82e7cca45be2
Bk,X2O3,8b005684-0c93-4f2a-b872-4a9c6e972f52
Bk,X2O5,010c4e3c-252e-48b9-87e4-075030b36e76
Bk,XO,cca99442-b11e-4a5a-a2b4-74607f759308
Bk,XO2,c8d3c974-bb5e-470e-8764-47d30d8435b0
Bk,XO3,5b0b197c-1929-4851-ba5c-92b7748ae190
Cf,X2O,b0358547-9acd-4c4d-ad15-07680ff86ed3
Cf,X2O3,aceaffde-a07d-4149-a70a-72cca0f94cb9
Cf,X2O5,dc62c2d2-248c-4a54-b506-22ff8b1b9cb6
Cf,XO,a6d144c0-3dd4-4e61-8986-d52cbd03eca0
Cf,XO2,583826d0-20d7-4dfc-a708-fea6171a389f
Cf,XO3,d6f8165e-a660-45ad-8253-03387e4b1775
Es,X2O,1f60c2b9-891e-43c2-9f02-e6fe1d669ce4
Es,X2O3,315bda76-fcc8-4336-bfcc-ca35bd6b1450
Es,X2O5,a931fe70-3bad-4166-a50f-685b7009d11b
Es,XO,db3966ef-4597-4d21-a3cf-9b89b36a92b7
Es,XO2,0c9d52cd-7ef6-4856-90b6-75bcecaedd33
Es,XO3,f411b599-b3e8-498d-9e2b-762899c629ec
Fm,X2O,75ab841f-9aab-42cf-acb3-23ee4280452a
Fm,X2O3,fe425d86-17a0-40d4-aea0-975b061f3696
Fm,X2O5,590f2fb6-a7e4-47a2-a504-16d6f62375b3
Fm,XO,2b994bc0-7046-44f6-9f87-9f1258932e13
Fm,XO2,134134fd-ba37-4e34-8dd3-2f5d92ffa395
Fm,XO3,62f63d0b-5334-41b9-bedd-00ae9d93bdc2
Lr,X2O,210ffa63-52eb-4d2b-9ede-6e433208995a
Lr,X2O3,af1d11cf-5bf9-4233-b354-fa5a851efc4b
Lr,X2O5,efee4c91-77dc-45f1-af9f-8b986dc1d28e
Lr,XO,2d636d7d-4d42-49ac-a96b-95b38a8dea6d
Lr,XO2,813dc96b-ae19-4e93-a01d-766431987fa5
Lr,XO3,f8182e66-866d-42a2-8738-5d654bb81ce3
Md,X2O,17dd01f3-14ab-400f-a07b-ede567ca71c8
Md,X2O3,b7ec7a0f-8d99-4075-8f80-cb6e5e557169
Md,X2O5,f66b4be8-ea5d-49e6-a70b-df749d1fa4cb
Md,XO,3d180604-7f49-4879-be32-b98f09abbd64
Md,XO2,c9e4c69a-5837-40a2-9bee-7d6c6138cce0
Md,XO3,bd8c70f8-4d04-4a05-8b0d-3725544c3200
No,X2O,3a022fd2-1336-4aa5-9194-8e2aa9f1ecf8
No,X2O3,29948f49-ed24-47f6-91ef-6ba243e61276
No,X2O5,a602a233-3f04-477c-bc3b-e90cce6ee84e
No,XO,7bce51e4-d5c1-4ca1-b6c2-71b9eca0715e
No,XO2,d25be65a-758a-4618-9dcc-3be55f47e13e
No,XO3,360ab05f-73a5-450d-b526-639e1ee625ec
