#element,configuration,UUID
Ac,X2O,11653b63-2cde-446b-93d3-36b9658c21fb
Ac,X2O3,93eac587-402d-416e-8a8f-566ba20a12f7
Ac,X2O5,43ed4deb-6b68-4228-acba-3433cf9786d6
Ac,XO,cb90762e-1950-4249-9e36-768ebafe7358
Ac,XO2,237c54f7-7948-44a8-8431-ed231a0b3961
Ac,XO3,ccbd4b89-9f78-412d-b0de-917f0f7b364a
Ag,X2O,8dc6e8be-9132-43ec-9010-e8e71a480937
Ag,X2O3,6ceefc9d-9f41-403b-9c86-1641096f1337
Ag,X2O5,1a6c3b69-f1a3-4a97-bcc6-fa9671591e31
Ag,XO,b68304dc-7747-43fb-9270-33f8e8e60437
Ag,XO2,6d56f6be-fe00-45a8-9401-99da98a8dc32
Ag,XO3,90f31a37-7379-4948-ad17-03284dbd07c4
Al,X2O,fbaa69ed-a5d5-4a40-98ee-bb007f4078ba
Al,X2O3,e1b3bda5-a3aa-4ada-9ac0-148404494452
Al,X2O5,2f924ed6-2481-42ca-a610-9540be17f307
Al,XO,696d9cd8-2209-4d6c-978c-5f0ce8f8d453
Al,XO2,9b374097-f8be-480c-96ca-6e5d762dfacd
Al,XO3,9c227c41-adef-462c-ba1c-7b2c80386a87
Am,X2O,b7bb15e9-c6c1-4cc0-ade1-68c56f431b54
Am,X2O3,b379719c-b5ec-439f-a76b-751e556a3400
Am,X2O5,de94bdd2-f494-48a2-b112-3e2f09045151
Am,XO,175753f0-086b-4a73-b050-f73c26ad115a
Am,XO2,5ccdff6c-b45b-4dc7-8d13-a585b88537e6
Am,XO3,cfeb874e-3369-488b-b7eb-4ad171e16da5
Ar,X2O,f01441cd-ecae-41ed-b92f-7063c0673d5e
Ar,X2O3,a91216fb-50e8-4655-9585-896d92894642
Ar,X2O5,741646b7-830e-45b8-91f3-712cee09ee41
Ar,XO,e31dd798-95c2-4b78-8df4-509736d1462f
Ar,XO2,0f36bd75-c0ca-4cbe-9b90-abec8a8a204c
Ar,XO3,07c58cc6-c87e-460c-b88e-aa9fde6541b6
As,X2O,0128acde-0762-45fc-944f-7b89437f5dfe
As,X2O3,d8990512-5d8e-45ea-b470-540ef56b4270
As,X2O5,01f67a67-4eb7-493f-8ce2-f0c33721302f
As,XO,7103eae0-0682-4a58-b261-b44f86ce45d5
As,XO2,1b6071df-902b-43dd-b273-ac99a5a5d5c0
As,XO3,9d1c6ef2-98d7-4149-8c15-e39ef573e3fb
At,X2O,950c1fa3-5b8c-4185-8896-04fb3f3c0cd2
At,X2O3,e8420277-27f7-4273-a97a-200e5f92bb34
At,X2O5,3a30b878-813b-40e3-995b-827b3878b160
At,XO,3eb3a4fa-a36c-4858-a5c0-b9fed4745431
At,XO2,19b4053a-6746-4cb4-b2d4-397e9a4e7d78
At,XO3,f7f86b3c-f3b4-4f97-8822-ab80744b4c79
Au,X2O,41410f1a-c317-40ac-ac42-f87ed21cf0f4
Au,X2O3,92af78bf-ccbf-44ef-b2c8-f02f83e078fc
Au,X2O5,f93f0764-54b9-4b65-8f43-1e55d3655b56
Au,XO,f0136351-c913-42d5-9bb1-9c1955ca6ebe
Au,XO2,90cd3abb-20e5-4bc5-92dc-96eaf92f3d03
Au,XO3,cf285c2f-b085-4005-aefb-e99cc524bf6b
B,X2O,677d83ac-de4e-46da-a354-872b317027e9
B,X2O3,cb64e518-1a17-44b9-ada7-f86e494eb72a
B,X2O5,44452bdd-6ece-4567-b804-a188fbe9caac
B,XO,852468ed-3da5-4e58-b251-768dee0a47c7
B,XO2,18a0a49e-5c66-46b2-84ec-4ede96d4cb51
B,XO3,61fe0bd8-eff2-4040-898f-d4f10b361380
Ba,X2O,8854bcdd-7d1c-41e0-a3ab-00f72cde594f
Ba,X2O3,79c8ea1c-1a26-4b56-9cfa-14ee7c7dba20
Ba,X2O5,bf6c7c23-8944-47d0-8e5b-138b9fe98f59
Ba,XO,81181688-ab4b-40b1-acf3-0af48e252ad6
Ba,XO2,055f112a-b18b-4998-a0da-a3f6098b01c6
Ba,XO3,c2fa8c90-7f72-40f7-ac0a-186f126202cf
Be,X2O,186d330b-c69f-4e9c-ba09-14163b70f953
Be,X2O3,18e5a0ac-1166-4049-b68e-a18b3ce6ad77
Be,X2O5,93191827-ce98-465b-a915-63fb6c5e4c02
Be,XO,10903aa3-d74a-41d9-9cb3-2c5ce4b58fa5
Be,XO2,b1e3e4bf-d765-4aab-86a4-0e4dfbf374a9
Be,XO3,fd74ae67-8e04-45ca-b665-8f1793aac804
Bi,X2O,22c2aec7-d8e8-4e0e-ae1f-85565b5845d7
Bi,X2O3,3946735c-d638-4030-b8a0-109e9bfeefdb
Bi,X2O5,654d7441-fded-4ac4-aa71-81dbbbce20b8
Bi,XO,545b8c2d-40b8-42c6-9137-c6c54c72529c
Bi,XO2,724fe325-473f-4ebe-a3e5-7ac0b3692337
Bi,XO3,12fe5e24-715f-474f-9c04-dd2da5331ce1
Bk,X2O,5c6d5592-fdb1-4558-bbfb-13cc3faa242d
Bk,X2O3,c957167a-a004-4dbe-83bb-af5e1552cc3f
Bk,X2O5,7314e21b-2524-4bf3-97fd-60fa05ee1320
