#element,configuration,UUID
Ac,X2O,e88c5572-ed35-406f-b445-dce8fa4696f7
Ac,X2O3,93420804-4e40-4779-94ed-242f04f2830e
Ac,X2O5,7e3847b6-fa95-469c-9a98-cab3f059ba7d
Ac,XO,c0c2fa62-00e2-4ea1-9781-0a19f212f7fa
Ac,XO2,4402fff4-3f51-4ef3-abb2-f91982ad9304
Ac,XO3,e68c7b7f-4652-44d2-b5e4-6c441cffdfa4
Ag,X2O,5ea40748-4e64-4ebd-99fa-fa99b2e8a1fa
Ag,X2O3,46ee7959-fc49-407e-a790-aba84ed87831
Ag,X2O5,4c5c8102-c0f2-45fe-9c7c-dc131069cf0a
Ag,XO,a063db4b-f24d-4e1c-b845-f1c75b63d5a3
Ag,XO2,0e81d25c-13f5-4197-be4b-d88a7a96b3c7
Ag,XO3,12e3516d-a76d-4e75-9765-64412ae16472
Al,X2O,c5f40ff7-e776-4600-aabc-36a58aab81dc
Al,X2O3,210702a3-48ac-4fbc-994b-ef9fcdb65330
Al,X2O5,3773442c-67d3-4e88-b1d5-432bb8b8f131
Al,XO,293f3d96-a2d3-4379-8fd9-4d2bf9bdffec
Al,XO2,d89a86fd-1dd6-48b6-b9ad-26c7f601e17e
Al,XO3,22c7f205-5a93-4e65-962e-28b4288a0e62
Am,X2O,6dc6b7cb-1c14-47dd-97b1-8524a68f1417
Am,X2O3,ca23f3ca-913b-4f71-98c3-5078f3c9d698
Am,X2O5,5fff05f5-4ce2-4713-98e1-f85ae8ce81af
Am,XO,7e3af2f4-e8ee-48f4-9e23-2c011a65eb33
Am,XO2,85f941a2-c36c-42c4-abdc-017cfa2630de
Am,XO3,e991447e-56c5-42e8-b7a6-ab6249155577
Ar,X2O,568179a8-02bf-4637-8d42-2f4c1f4faf32
Ar,X2O3,837a6742-bc60-4f7d-84a0-3df79c248db4
Ar,X2O5,67e403de-fc52-423f-b263-e9afe4049d86
Ar,XO,8c069e9e-29e5-4c2e-8666-aad676e2b9fa
Ar,XO2,11561031-73ee-4c10-9d56-e7f4296b872f
Ar,XO3,f8ffa2e4-3adb-406e-a61d-0c16ab937765
As,X2O,13eeff51-1881-49c6-83e2-84626f26b044
As,X2O3,906bcd72-48af-462e-ac98-6885bd467f0c
As,X2O5,23532857-b0fa-4629-b066-a69fa48745f7
As,XO,8ee1c5e2-77d9-432e-b680-757bf37d2551
As,XO2,95a7ab65-e45c-4dff-9ce6-bbcc48e2ac34
