#element,configuration,UUID
Ac,X/BCC,5555ba64-9c03-41c2-a342-a41cd067b19b
Ac,X/Diamond,9a494b67-7971-407e-82be-f04835bb7946
Ac,X/FCC,7e2ce5c8-efe4-4e5a-ba2e-bdd6a84f84ce
Ac,X/SC,c266b99a-1e7b-4d03-bf66-8c8a170fd2d1
Ag,X/BCC,ca519cf5-6f7f-406c-abf4-522386591eab
Ag,X/Diamond,c6b49a5b-d6a6-4392-9180-ef9bc274dfc8
Ag,X/FCC,cfd70e47-800b-44da-942a-bd2e09ae4a36
Ag,X/SC,fa23990b-c167-42dc-8465-9c139c4261d3
Al,X/BCC,644fa28f-5e84-4336-83f8-6f91533b35ac
Al,X/Diamond,d4f3cb1f-710a-4d5b-a68a-857331ab5878
Al,X/FCC,37eb40dc-42b2-4b06-b88c-c350f66fe459
Al,X/SC,d87cd511-f73b-4c4d-8f5f-2bd1de058352
Am,X/BCC,c3fb2ec4-9021-409e-8d2a-2e530589559e
Am,X/Diamond,b2e2c5bf-e7e2-4807-9c76-e99a91b360af
Am,X/FCC,c799eddc-17e7-4dc1-ba7e-48f119caf18c
Am,X/SC,0a878019-73fe-4b3b-9081-ca10b05c5c64
Ar,X/BCC,c247a9b9-28d7-4d98-aad0-b6e8dd1295d1
Ar,X/Diamond,6a147308-6b36-43f4-b204-b9bba0ae8b1f
Ar,X/FCC,5322d7ac-4bc2-4b4d-9153-a8e951cfb032
Ar,X/SC,81d312f0-1721-484a-913d-b6c420d16542
As,X/BCC,5742e799-6a55-4cdd-b6bd-dad8972af9be
As,X/Diamond,f8056f82-49ad-44bb-b0ad-5ba29caacd2c
As,X/FCC,e353a415-90a1-4147-b92f-245ee4cad15f
As,X/SC,3dea600a-e783-4452-a9c4-5cdf6cbbeba9
At,X/BCC,13a13d14-bd7a-4f49-9fa2-8bb21311a004
At,X/Diamond,3a415284-c421-4340-889d-8f33dab9d940
At,X/FCC,73fd7d78-9efe-463e-a8c6-9cd71c57bc49
At,X/SC,795188fc-813b-4bbb-bc2c-8ad65f415c8e
Au,X/BCC,2d818633-71e3-408a-b11f-79fd0fdefaa7
Au,X/Diamond,cfe8a466-7e60-4290-9fb6-940fe743f306
Au,X/FCC,cf638d3b-943d-46b5-a52c-38ffa778ced1
