#element,configuration,UUID
Ac,X/BCC,5312fe5e-d91a-4375-afba-2cb425c1542c
Ac,X/Diamond,f3808b8f-d327-424f-bee3-b279a8df2966
Ac,X/FCC,a2f39a80-1c90-46cc-a7a1-d62f2fe6b1ab
Ac,X/SC,304454bf-1583-482d-9028-b9a7a1746a97
Ag,X/BCC,6f65dda6-377b-4f97-bd16-21ca08dcada9
Ag,X/Diamond,477bbd13-614b-4001-b83f-8dbd5830e883
Ag,X/FCC,699ccd73-1196-4dd4-bfa7-f75277ba93c2
Ag,X/SC,7d3ce9ef-0547-4a4a-8f97-0051e28b93c7
Al,X/BCC,8d81e6cd-cf9a-41aa-9580-3811e2aa1f83
Al,X/Diamond,3afb79e0-4f09-4545-b797-58ce67385290
Al,X/FCC,791bab9a-7c57-4b39-9ea7-e2aa05b50d89
Al,X/SC,3191c957-4fd0-4de0-96ff-502265bb4215
Am,X/BCC,7feda680-cefc-4469-a8c9-85430d37c838
Am,X/Diamond,61663d91-a8ce-4858-9bbe-d80f825d6173
Am,X/FCC,e6187b93-6ced-4d5f-8e8e-5c4aeb63e7c1
Am,X/SC,3011248c-86c2-43fd-9ffe-6fa2f9134924
Ar,X/BCC,434a0533-e46f-40a1-b01b-566057287b4d
Ar,X/Diamond,a85c25a7-4edb-4c86-90bf-90067ced77b4
Ar,X/FCC,d43b6a85-5a7c-44a4-9563-1210bb2eb6df
Ar,X/SC,6519c784-ebdb-40a3-9860-8541c5ed3b6a
As,X/BCC,cdf960ea-4259-4f28-ae42-f4fa393c50a1
As,X/Diamond,99b42843-7cb1-4e8c-a802-2e4f76514eea
As,X/FCC,92a6db26-2ca7-4ef8-853d-251003f6754d
As,X/SC,91034215-e527-4072-bc75-4129e1580f7e
At,X/BCC,8f4f6b59-2567-4f76-93d6-cd74afd0f227
At,X/Diamond,ab056243-aeb8-4383-b4c5-a45868913093
At,X/FCC,46589fe5-b9e6-4d5e-b8c3-0f059ba24420
At,X/SC,b06b5a6a-c5a3-46db-a76d-035bb0f77bee
Au,X/BCC,ab08f29b-a240-4ad2-9901-507e6dd421d0
Au,X/Diamond,25a28298-bf68-4fc8-9c1a-c09e88144bcc
Au,X/FCC,f2e8da82-8329-428f-9fe9-4ae59e08843c
Au,X/SC,5a86fce9-e978-475e-b73b-557fbadd55ee
B,X/BCC,cf4f1b6b-8a30-4fb7-b229-c4c6c9869428
