#element,configuration,UUID
Bk,X/BCC,734e914b-17e4-45df-93a8-d5cfe9ff667f
Bk,X/Diamond,de743e48-1f30-4175-91cf-03349b7413ae
Bk,X/FCC,0436951b-d2ea-48d3-a57c-632d1da20d2e
Bk,X/SC,8dc4bd5b-bc63-4b94-8980-c9221ac89423
Cf,X/BCC,e7b285b1-8399-4767-93dd-7f221cdda156
Cf,X/Diamond,9064cf73-7cf1-4a76-a90d-33afe6459d40
Cf,X/FCC,33161f47-5210-4e0f-ad31-6a0bc58cdbd1
Cf,X/SC,d3e54538-3979-48eb-aafd-a20345f66283
Es,X/BCC,3b45f82f-5585-4dbb-b112-e99992403614
Es,X/Diamond,a9732ab4-cf11-48a9-8e6c-1d3c346ad570
Es,X/FCC,073b87be-4aff-4cd7-9ab0-9f1c168486e3
Es,X/SC,1a1ed621-33d2-4155-90ed-83c57a1d171b
Fm,X/BCC,412ce942-f5c0-463a-a57b-f18b4c1c8167
Fm,X/Diamond,04f5fdb3-a60c-4384-99c0-667ffd2ff700
Fm,X/FCC,8f8c7f96-a31a-4315-959c-d4d66927e944
Fm,X/SC,74517ce3-9c69-4616-bb5e-b10c67173fc9
Lr,X/BCC,1376837f-9ba0-438d-ab0c-ab9169a2bc5f
Lr,X/Diamond,374ffbd7-9f2a-44d1-999a-cf893a941dc3
Lr,X/FCC,0c3f94d7-a1c6-46ee-8b24-007d034e5f2d
Lr,X/SC,0c680ac4-4067-4696-9cd3-8b4e5fe756f6
Md,X/BCC,e3ee93c2-b2ec-4b7f-a812-0dcb58a6d2ee
Md,X/Diamond,facb4e5b-41de-4373-b03e-d517be02a68e
Md,X/FCC,40554963-5dbf-47cc-9b44-04a3e66d4776
Md,X/SC,da7c6dac-24f2-4d28-acbd-91c7d5f7357b
No,X/BCC,e5c8f29c-9177-448f-ab91-fd8f03fda6d0
No,X/Diamond,d84cdba7-509c-4c04-9e10-2de694f61333
No,X/FCC,0080d481-5cb5-4556-810e-38051506678b
No,X/SC,5d7d1da4-9ec5-417a-a89c-62e672d3da8b
