#element,configuration,UUID
Ac,X/BCC,03d7e655-c09a-45d2-bb09-306471dd6bf7
Ac,X/Diamond,c48bb510-8ae3-4c9c-aeb2-43243f3b375b
Ac,X/FCC,66b82687-766c-41c2-bce8-c35dfebbf27e
Ac,X/SC,0f6b760e-29f0-4c22-945f-88c6abc169bb
Ag,X/BCC,beeea570-6c6e-4d07-ada5-cce3c8825245
Ag,X/Diamond,07a6e6b5-87a1-44db-b897-a417e5a0e0e8
Ag,X/FCC,65ea45a0-feb5-418d-96dd-1472cbb73f15
Ag,X/SC,3945717b-303b-443b-bd03-1f0637daec94
Al,X/BCC,c29fac7f-5a2d-43a7-bdca-c7130fd2323b
Al,X/Diamond,1340bf29-1759-47bb-a7c6-39b83c0b44be
Al,X/FCC,4227e359-c9a2-4b2c-bbd9-e74a1479507e
Al,X/SC,924082c0-1448-4c8d-97be-5507f64d4cf0
Am,X/BCC,9175338d-b157-43cf-ad29-bebd761fdd8b
Am,X/Diamond,202f7e3f-9dd6-489e-9966-f044fa9c8f39
Am,X/FCC,78c5d671-5257-4f8b-83af-6e6262cc5720
Am,X/SC,e3982659-7860-4a88-9463-2f98beed418c
Ar,X/BCC,a37a7081-45f0-4260-91c8-5ca3f6290aca
Ar,X/Diamond,12d6c4b3-0222-4a11-8ccf-eba6749443e4
Ar,X/FCC,5f0c1646-4ce0-4e24-a54d-43f48fbca91e
Ar,X/SC,aa74ce89-914b-4747-9624-8c2fe496ccee
As,X/BCC,50e3fab6-8973-4532-8c28-0624515fa054
As,X/Diamond,237e1848-8ef7-4d5d-87ed-82d0f6ae7b44
As,X/FCC,413e49aa-845c-4329-a0cd-39a3ef519af4
As,X/SC,1fdbfd71-7493-42d4-abda-8ec7d77121f5
At,X/BCC,9635014e-3056-45d4-b3b2-28dbf61ceb26
At,X/Diamond,bf2f2808-863b-4999-85ad-456309da8fa7
At,X/FCC,0a238302-841c-4d67-b4a5-0f4e4fae6962
At,X/SC,428f69dc-1d0d-4a65-934c-d5030c50f660
Au,X/BCC,466895e2-2305-475b-9582-f2aa5c6db930
Au,X/Diamond,e34fa16b-85bd-4946-9a7b-f7a1e5229ead
Au,X/FCC,2f339765-a8ce-4958-a1a0-c67ac015f740
Au,X/SC,d8d98a9f-adf3-45a6-b28e-da67a10cd75e
B,X/BCC,e1cc90c7-0fb2-43ee-b09d-ef083aaf0173
B,X/Diamond,548bd775-7410-409c-822d-ab16ab85cfbc
