#element,configuration,UUID
Ac,X/BCC,a3a777b5-6fe9-4dc4-adf4-b3c642c60b84
Ac,X/Diamond,c26668b6-2000-4fb7-8360-8a5d8a64fb58
Ac,X/FCC,f6e4e3b2-e636-4188-8d19-53442179353f
Ac,X/SC,c4b7422d-ff32-40a8-a647-caa1b2d7fd40
Ag,X/BCC,6b72853d-19cc-4fd1-ba6a-98096b7ef3e1
Ag,X/Diamond,987b7fb9-2dc5-4b77-b6ab-0564bff66a39
Ag,X/FCC,b56ed4b0-2cd2-4629-871c-39e4a704ed27
Ag,X/SC,ba18e29e-0442-4475-8c27-06ac731ec691
Al,X/BCC,cd68bb96-a95c-4c08-812f-830eebfe128b
Al,X/Diamond,24bc75f9-9211-40cc-bcc7-88b5ac417d08
Al,X/FCC,604acb42-3631-4652-a2a1-29afcec3d298
Al,X/SC,4b2e2b91-24ac-4d20-b46e-a0cd8ccdc53b
Am,X/BCC,8ff67afb-c30b-4a21-89ec-4e45b09a3e58
Am,X/Diamond,0d73de81-08f5-424c-a77b-d3d7b91c3d06
Am,X/FCC,6853c892-6530-45cc-9ec2-48adac00d42b
Am,X/SC,84aa3a85-c19a-46a1-87ec-29c21b8dd743
Ar,X/BCC,f6e4090c-3ce6-41e6-8fee-58302659b0df
Ar,X/Diamond,bd3b8381-e720-4944-b2d1-f4d24cb6150e
Ar,X/FCC,5c1f2b77-8cc2-4a66-885d-3bed3694a67a
Ar,X/SC,0a4144f9-a727-4003-8482-8d5c20f62468
As,X/BCC,03057d41-b09e-40de-a6e1-dc52ceb8f2dc
As,X/Diamond,fbe28e0e-78a1-4464-a61c-35d536ca2fb7
As,X/FCC,b5ae1a69-e65e-44a8-b220-80e70dd5a7c3
As,X/SC,24ddcbba-2ae8-4b5e-86d0-fa4b5215fb3c
At,X/BCC,c24cf419-e999-449e-b789-b5bb9bcbc28b
At,X/Diamond,cd91af61-ba4a-4c95-8b11-037a47fa6286
At,X/FCC,fdc51c1d-9882-4785-a582-18ab734a986d
At,X/SC,e7374e75-c83e-4d6a-a869-224f3e039fa5
Au,X/BCC,234cd6f3-3c04-4bf7-aa6b-8bc3a67f4034
Au,X/Diamond,4057056d-b3f2-417c-a88c-cfdf3d1a53b8
Au,X/FCC,39035c44-b3ec-4b9f-b669-2d9e85e7e7b6
Au,X/SC,3011da54-a8e0-4e83-a85b-10cbc2d15ed4
B,X/BCC,b3118809-61e8-42ff-941f-0bf84fad68c5
B,X/Diamond,cf6a4562-4f9d-4949-8cdd-80b05113ce64
B,X/FCC,473c95fe-458f-4da0-b0a7-c0a6f7685ab7
B,X/SC,3e5d60ce-1e0e-4e55-8d1e-97869f1bfa2e
Ba,X/BCC,0ac7af8d-d784-4fe1-9bf6-023c74efd658
Ba,X/Diamond,b799f436-2d2d-495a-a40d-b503cd8e70e2
Ba,X/FCC,adcab72b-2ef7-4cf2-9bf3-a403f777cf44
Ba,X/SC,d4042c93-2ecc-4f65-9bf6-e3d6e33028e2
Be,X/BCC,8ffb9361-b077-472c-8ef4-ef30332215ef
