#element,configuration,UUID
Ag,X/BCC,10798259-8917-440d-90df-bbd0fb861b64
Ag,X/Diamond,2b636751-17ba-416c-a4a6-e578898e342e
Ag,X/FCC,5c1610c2-358d-419a-97aa-69401b28461f
Ag,X/SC,448a31a5-c8f1-426e-873c-ca1290ea4042
Al,X/BCC,c2171538-0668-4212-8d38-08364e15a811
Al,X/Diamond,97066d82-9632-4b0f-831b-922ae403e872
Al,X/FCC,03c89b48-9945-43a4-b28c-3ea18ecda07a
Al,X/SC,ba92be20-1087-40a5-8d7e-e10905278d66
As,X/BCC,7ac9391e-38f1-458b-b715-6477b31f4cf5
As,X/Diamond,653cd753-1eee-4af9-aa01-95dd4dd58b54
As,X/FCC,9004b0af-b5b1-4469-8cef-f4e4ebaaf3a5
As,X/SC,fc056746-aa41-47d9-9cd0-baa5dd13288a
At,X/BCC,93f94d1a-d05c-43c2-a609-ed0109614d3c
At,X/Diamond,37d61fbc-1299-4ebd-8151-0ee20a917900
At,X/FCC,726c79d9-60f2-4ad9-ab3f-1da804f6def3
At,X/SC,a146cfb8-6095-4b3f-b669-9fb27ad28aa5
Au,X/BCC,233c8ca3-f36c-4893-b1fe-5450bccaa03f
Au,X/Diamond,24e28aac-aed5-47be-98a7-88927571b9ad
Au,X/FCC,610eaac7-ff48-4d7e-b239-28d20ca145bc
Au,X/SC,e0ebe78c-8e6d-4bb4-a7da-66607a8cccfd
B,X/BCC,2cfb8363-6cb5-42c3-adae-52d7944bc58e
B,X/Diamond,7e5310f2-7dbb-4017-b5da-f730daea9598
B,X/FCC,a5f5e17c-3871-43d4-8ebb-3ac4d53f8123
B,X/SC,5ce54840-8990-453b-8e96-09e4eb07ddd8
Ba,X/BCC,90637bd9-dad0-47e7-9bc2-92a6396739cb
Ba,X/Diamond,a7f6935a-6c79-4354-8c9c-44663e2baad2
Ba,X/FCC,a9a03abb-477a-486e-a4ef-6d86fea717d3
Ba,X/SC,d9393e12-9630-46d5-a78e-59d71bd2ac36
Be,X/BCC,40bc7fd9-5df6-4102-b268-872fe954cb50
Be,X/Diamond,127765ea-b6d8-43f3-a8af-95eee4027149
Be,X/FCC,02774aa5-37cd-4713-9096-7972e137e1b2
Be,X/SC,6e82be5a-812f-4c68-a502-5ab2f0b1b294
Bi,X/BCC,076e42c7-b253-4c31-8f7f-0c3d2ac8bf28
Bi,X/Diamond,53cb599e-5a90-46ee-a672-97d41570cc66
Bi,X/FCC,3e8c3c58-3c19-4ab3-b87d-5bf58903f979
Bi,X/SC,494ae5e0-4681-4a8a-9f08-9aa89c3acc90
Br,X/BCC,df229f66-27c7-422d-964f-47163e6eef04
Br,X/Diamond,0acf1627-a8d3-4a2f-a96b-92606817cb49
Br,X/FCC,5c8f325e-b26c-4314-a8f2-3407723d2d09
