#element,configuration,UUID
Ag,X/BCC,0206b677-8360-4d4c-ba68-36d37ddad0e4
Ag,X/Diamond,1fa27768-5ca0-42e6-8e66-a25b8f97525b
Ag,X/FCC,691927bf-ee97-4f68-97b3-5fdccd24bbfe
Ag,X/SC,e32ce620-6c32-4da1-b52a-aea7c3213bbf
Al,X/BCC,d984cc6a-75a7-4884-8814-c17e18c0a25d
Al,X/Diamond,0005b42e-4f30-4761-8d89-3918f6959b42
Al,X/FCC,7145250a-585d-4466-8ab6-f182d1888e30
Al,X/SC,c37c4612-d8c8-4782-bbad-1bcb9c128063
As,X/BCC,4b79af75-c749-4874-9fb1-3a95d5cffc0b
As,X/Diamond,11334076-c02e-47c3-a339-ee1a077d159e
As,X/FCC,b65986cb-7b76-46c8-b297-732c5b48f509
As,X/SC,37167b1c-aa77-4504-bb2e-2d2d87b83d0a
At,X/BCC,e646b625-4d13-449b-83b7-30792f2d39b8
At,X/Diamond,150a225c-5d24-44e6-aab8-6d0bd57537b9
At,X/FCC,da59eb3e-15e7-42af-9b48-088f6197b730
At,X/SC,53761636-18a1-4f69-864f-bd2f4ecf2e46
Au,X/BCC,4a885791-8812-44ee-9ab1-bba141145b75
Au,X/Diamond,af25715a-6426-4e7f-8982-6f2cc67aa226
Au,X/FCC,22958917-f8ff-4ffb-8766-cd51b774a192
Au,X/SC,532bb9d5-ff3e-4bb6-937e-889017225961
B,X/BCC,a09eca2f-b192-4bfc-890e-757c7d0e08e3
B,X/Diamond,7c18fd86-bfa5-4761-b853-62da945ace09
B,X/FCC,d4493a8e-607c-41e0-8481-5e2cd79be35d
B,X/SC,d7048d5a-e3cd-4107-8b08-1e772394872a
Ba,X/BCC,d06eec9a-4696-4a08-84a1-1c679a96236c
Ba,X/Diamond,7d15bb9c-a2c8-4eb3-bf7d-0469fda49788
Ba,X/FCC,7778b6d0-edc7-441f-aeb4-57c9081c4384
Ba,X/SC,8da8b276-0a7c-4cd9-ab48-27acccaf137a
Be,X/BCC,1382cbfe-5421-443f-948e-1b7eb3475dd9
Be,X/Diamond,61fa83a3-f42d-40c5-8cea-4eeaacba33b8
Be,X/FCC,b91e7994-a982-44b3-bb39-b13a27078db4
Be,X/SC,ae020989-08f8-4b8d-b657-170c4d69fb88
Bi,X/BCC,4635fb18-97af-47e6-9cc9-0aef9800047a
Bi,X/Diamond,029fc3d3-aa2a-4ce8-b536-e6dfe82f4eca
Bi,X/FCC,6adbff35-c82d-4e3c-af8d-bd2482291b31
Bi,X/SC,4037fabe-369e-4742-8c4d-c164670b8bfd
Br,X/BCC,6da3d10d-bb19-4f01-ba9e-80f027641aeb
Br,X/Diamond,bc4eff37-5a21-482b-a667-7bbdc40fcf7c
Br,X/FCC,8903dcdc-105d-499b-9bb5-770e6dff9745
Br,X/SC,15811ad9-feb6-4f84-9eec-b54c83b6d277
C,X/BCC,939f6bac-76de-4b87-9119-46a9edfe6086
C,X/Diamond,8862349b-d65e-4447-a898-c7dfbe776080
C,X/FCC,c1e147da-1390-48bb-b677-8f5d071b5862
C,X/SC,2665569e-8a29-43a6-8171-fea8d08cb418
Ca,X/BCC,b9d889a8-e9a8-484d-90eb-5297a8e207c9
Ca,X/Diamond,addeb5e3-b55c-4056-9351-a995cfabd89b
Ca,X/FCC,33764aa1-3a37-4a30-8070-c43abffeaeb1
Ca,X/SC,1a4a624d-6493-4b5a-a867-a0162ba050ca
Cd,X/BCC,3e9f9468-bb55-47ec-833b-740ca3f5e562
Cd,X/Diamond,691086ff-dc08-4c71-870d-f399faf541c9
Cd,X/FCC,4365c4f4-13f6-4bc9-9c36-1157c44e466a
Cd,X/SC,67432653-fd53-45f4-b3d2-3608ae7f7179
Cl,X/BCC,0f7ddc3d-a84a-4719-9196-83ffeda84d97
Cl,X/Diamond,b2c043d8-ce25-4259-8611-8b21bcbbc6b4
Cl,X/FCC,9d03fd22-418a-4850-8696-3bc067f0aee9
Cl,X/SC,36e0a6f0-1946-45e4-9020-2eec3546ca84
Co,X/BCC,c94702c8-409f-451c-a201-bbbb30b09cc5
Co,X/Diamond,52ef74e2-e0d1-4579-a5e9-f508a22ddb90
Co,X/FCC,1e09e293-384f-472b-bc04-bd80bcb9c4b9
Co,X/SC,1c4a1d35-1951-406c-8551-c0723d9c7632
Cr,X/BCC,a9399377-f285-4f61-816d-126a6cefe4ff
Cr,X/Diamond,cba49931-19d1-4fc9-a858-e5c13949d42c
