H   7.384  132.5344  4.3553
He  1.056  -17575.4249  5.8339 V0 not yet found
Li  8.835  98.4360  4.5099
Be  8.182  151.3714  4.1299
B   7.783  161.4151  4.3942
C   8.373  136.6903  4.2889
N   8.177  156.2259  4.4915
F   8.678  122.7353  4.8796
Ne  9.913  79.3882  5.1112
Na  10.615  77.1918  4.8199
Mg  9.912  119.9736  4.3061
Al  9.016  171.2718  4.2693
Si  8.712  164.9269  4.7216
P   9.321  143.0944  3.9944
S   9.577  143.7931  4.4454
Cl  10.739  98.2012  4.7359
Ar  13.213  48.7351  5.3090
K   14.171  47.4840  4.7904
Ca  12.051  93.4200  4.4146
Sc  10.187  161.7817  4.2253
Ti  9.100  210.9935  4.3412
V  8.563  230.9904  4.4239
Cr  8.299  233.2295  4.5107
Mn  8.226  224.2907  4.5664
Fe  8.276  213.6373  4.5877
Co  8.412  199.0707  4.6614
Ni  8.667  179.6368  4.7033
Cu  9.171  151.6940  4.8169
Zn  9.776  133.8840  4.6245
Ga  9.696  148.0271  4.6741
Ge  9.968  123.2259  4.8998
As  10.280  138.2228  4.0506
Se  10.265  148.8227  4.5495
Br  11.141  108.2458  4.8188
Kr  13.716  52.1314  5.3261
Rb  16.278  35.9989  4.9192
Sr  13.955  77.8230  4.4305
Y   11.771  143.7776  4.2596
Zr  10.278  214.5168  4.2412
Nb  9.396  263.5736  4.4160
Mo  8.984  274.6561  4.5753
Tc  8.899  262.6802  4.6465
Ru  9.036  238.8107  4.6997
Rh  9.340  210.4390  4.8098
Pd  9.849  174.5656  4.9573
Ag  10.703  130.2473  5.1017
Cd  11.501  114.4964  4.7524
In  11.212  138.9567  4.8134
Sn  10.968  142.8001  5.0893
Sb  11.242  126.2998  4.6860
Te  11.373  149.1176  4.3643
I  11.630  132.1631  4.8713
Xe  13.088  77.4540  5.5347
Cs  17.388  28.4256  5.1403
Ba  16.236  62.1393  4.2894
La  13.551  123.0896  4.3005
Ce  11.992  164.0018  4.4974
Pr  11.496  170.4867  4.4689
Nd  11.369  164.8095  4.4983
Pm  11.265  159.9615  4.6690
Sm  11.219  155.5746  4.2597
Eu  11.185  152.6766  4.2981
Gd  11.149  148.4763  4.2105
Tb  11.093  147.8108  4.5372
Dy  11.055  148.1504  4.5359
Ho  11.062  145.7128  4.5908
Er  11.105  142.8639  4.5788
Tm  11.183  139.7277  4.5783
Yb  11.313  135.4797  4.5657
Lu  11.269  150.0352  4.2622
Hf  10.186  222.7866  4.2856
Ta  9.376  283.6254  4.3992
W  8.967  304.6557  4.5210
Re  8.887  296.2830  4.6245
Os  9.026  273.5723  4.6595
Ir  9.347  242.7148  4.7612
Pt  9.893  202.5051  4.9053
Au  10.738  152.7920  5.0918
Hg  11.893  113.4243  5.0266
Tl  12.303  110.9293  5.1251
Pb  12.605  95.3711  5.3183
Bi  12.695  116.7327  4.1226
Po  12.174  153.4314  4.5198
At  12.065  145.3354  4.9751
Rn  13.000  98.7903  5.2958
Fr  16.402  35.1176  5.5499
Ra  17.397  51.3721  3.7995
Ac  14.826  110.3868  4.1424
Th  12.716  182.0146  4.2064
Pa  11.405  237.6432  4.4396
U  10.881  241.5907  4.5532
Np  10.661  232.7383  4.6069
Pu  10.567  220.2722  4.6240
Am  10.569  206.6135  4.6243
Cm  10.617  194.3858  4.5632
