H   3.988  194.1984  3.8497
He  5.173  -38.3565  5.9449 V0 not yet found
Li  8.240  79.2715  3.8875
Be  8.943  107.6732  3.2714
B   10.034  70.5147  1.7900
C   9.508  111.3681  3.7866
N   8.883  142.0388  4.1969
F   10.297  81.1403  5.1037
Ne  28.742  0.5611  29.7339 energy differences in EOS miniscule => minimum VERY shallow
Na  14.566  45.2663  4.2615
Mg  14.953  58.1860  3.2701
Al  15.371  57.2568  5.5058
Si  14.216  85.2232  4.2667
P   13.323  99.9125  4.2883
S   14.226  86.9040  4.0258
Cl  18.128  41.8704  4.7225
Ar  35.914  1.7260  13.0623 energy differences in EOS small - HUGE gmax would probably be necessary
K   22.664  26.9119  4.3277
Ca  18.690  47.1289  4.1209
Sc  14.357  91.4734  4.1383
Ti  12.102  147.1625  4.2406
V   10.901  179.4224  4.3516
Cr  10.130  205.4005  4.4513
Mn  9.839  206.8891  4.5643
Fe  9.800  202.5213  4.1963
Co  9.935  188.1532  4.6419
Ni  10.522  154.7068  4.7001
Cu  11.510  118.7365  4.7593
Zn  13.553  89.5213  4.9218
Ga  17.691  49.3069  4.6699
Ge  16.534  74.0562  4.3524
As  15.925  90.6422  4.2774
Se  16.632  83.8220  4.3744
Br  20.458  40.4307  4.7453
Kr  38.203  3.5910  8.3975
Rb  27.024  22.7591  4.5629
Sr  23.387  36.9541  4.2280
Y   18.657  71.9543  4.3464
Zr  16.025  122.5712  4.2360
Nb  14.427  163.7510  4.3038
Mo  13.223  201.7242  4.4869
Tc  12.791  211.1452  4.3443
Ru  12.619  215.0488  4.7764
Rh  12.949  184.7722  5.0217
Pd  14.046  132.4216  5.2336
Ag  16.146  83.3512  5.2348
Cd  17.690  74.1078  5.0834
In  21.980  42.9802  5.0039
Sn  21.150  61.5055  4.7065
Sb  20.511  75.5511  4.5088
Te  20.955  73.0337  4.5020
I   23.982  40.5468  5.0337
Xe  44.508  3.7654  6.3234
Cs  32.162  20.4965  4.9766
Ba  26.610  34.8013  4.7400
La  21.694  72.6110  4.7308
Ce  18.636  95.4573  4.6456
Pr  17.315  103.5171  4.8191
Nd  16.690  105.5236  4.8677
Pm  16.425  102.2947  4.8958
Sm  16.354  96.1734  5.0571
Eu  16.457  85.5414  5.2640
Gd  16.698  76.9074  4.3105
Tb  16.817  76.2374  4.9000
Dy  16.992  71.8651  5.2137
Ho  17.281  64.9390  5.2677
Er  17.670  58.1790  4.9452
Tm  18.158  52.7001  4.8010
Yb  19.204  47.2033  4.2761
Lu  18.009  67.9805  4.4901
Hf  16.214  115.6973  4.4352
Ta  15.010  174.2309  3.9654
W   13.914  213.1102  4.1003
Re  13.397  241.4715  4.2839
Os  13.180  251.3244  4.5989
Ir  13.441  227.8001  4.9173
Pt  14.399  173.8819  5.1942
Au  16.473  104.4268  5.4018
Hg  18.724  66.0709  5.9875
Tl  24.087  37.9917  5.0190
Pb  23.417  55.1795  4.6841
Bi  23.066  67.8183  4.6869
Po  23.430  69.7743  4.7190
At  25.874  44.3032  5.4464
Rn  43.990  5.0066  6.4568
Fr  35.563  19.0617  5.3618
Ra  31.299  28.1021  4.5834
Ac  26.762  51.8009  4.5933
Th  22.925  75.0608  3.6652
Pa  18.747  118.7678  4.4106
U   16.658  151.6555  4.9045
Np  15.704  165.3548  4.9466
Pu  15.249  165.2821  4.9858
Am  15.081  155.4433  5.2368
Cm  15.208  140.1918  5.2636
