H   7.761  123.1284  4.4426
He  10.705  41.5274  5.4514
Li  11.479  53.0586  4.6976
Be  9.733  113.5038  4.1552
B   8.400  192.7913  4.1021
C   8.221  162.8712  4.6663
N   9.909  111.5486  4.1156
F   13.289  56.5792  4.7071
Ne  19.715  13.1956  5.7972
Na  20.255  20.3549  4.9408
Mg  15.476  58.5743  4.3721
Al  12.417  121.5307  4.1394
Si  10.439  199.5055  4.2063
P   9.250  254.9350  4.7471
S   9.768  121.4472  5.0429
Cl  12.978  76.5462  4.2069
Ar  16.957  29.4750  4.7474
K   32.389  6.5354  3.1083
Ca  23.426  31.5287  3.6268
Sc  17.588  81.0793  3.9790
Ti  14.335  140.8242  4.2795
V   12.558  181.6531  4.4913
Cr  11.718  195.7349  4.5490
Mn  11.399  191.4511  4.5682
Fe  11.475  171.9173  4.5025
Co  11.764  149.2620  4.6650
Ni  12.283  128.0005  4.5790
Cu  12.975  106.4074  4.8056
Zn  14.098  82.0144  4.8324
Ga  14.355  96.9036  3.4213
Ge  12.764  149.4350  4.8151
As  11.826  146.3716  5.5254
Se  12.448  99.5972  4.6199
Br  14.547  81.3385  3.6134
Kr  16.927  47.1843  5.0594
Rb  25.670  8.8323  13.0000
Sr  27.973  18.2010  1.8333
Y   22.170  54.3466  2.2106
Zr  18.086  119.1593  3.6971
Nb  15.400  175.2489  4.4285
Mo  13.900  209.2020  4.5755
Tc  13.276  213.1766  4.6616
Ru  13.123  197.3350  4.8051
Rh  13.549  155.4440  5.2449
Pd  14.606  108.5377  4.9976
Ag  16.269  80.1947  4.9862
Cd  18.219  55.1855  4.9171
In  18.620  66.0666  4.2620
Sn  16.896  114.1626  4.7915
Sb  15.035  141.8736  6.2584
Te  14.202  125.1802  5.5296
I   15.192  128.4802  7.4013
Xe  16.691  91.1400  6.4332
Cs  18.929  52.8348  6.7063
Ba  22.546  19.7694  7.2219
La  22.544  29.7910  3.7593
Ce  20.306  50.5370  3.2019
Pr  19.170  68.5277  3.0974
Nd  18.132  92.2032  4.2841
Pm  17.905  90.1692  4.2675
Sm  17.788  87.4197  4.2211
Eu  17.720  84.8440  4.2090
Gd  17.699  82.1926  4.1892
Tb  17.733  79.3974  4.1523
Dy  17.838  77.0037  4.2510
Ho  18.008  75.1019  4.2373
Er  18.241  72.7714  4.1243
Tm  18.533  70.3220  4.2435
Yb  18.881  66.5828  4.1843
Lu  19.460  62.5301  3.6444
Hf  17.714  122.0153  3.4736
Ta  15.433  186.4411  4.3874
W   14.011  231.8044  4.5118
Re  13.451  241.1120  4.6223
Os  13.272  232.0729  4.7382
Ir  13.456  191.5923  5.1934
Pt  14.316  139.0885  5.4792
Au  15.946  98.2283  4.7758
Hg  18.125  64.4008  4.6946
Tl  19.675  55.6856  5.1027
Pb  19.757  59.2279  4.6704
Bi  18.481  82.2292  5.1705
Po  17.690  85.2522  4.8860
At  17.887  80.1378  3.5398
Rn  18.007  106.7245  6.3795
Fr  19.846  70.2959  6.5756
Ra  21.670  43.7869  10.0059
Ac  22.614  32.8635  7.2717
Th  21.095  55.2730  4.5255
Pa  19.345  90.9651  6.5107
U   18.055  148.2553  4.2820
Np  17.550  143.5483  4.2260
Pu  17.180  137.6876  4.2569
Am  16.925  131.3039  4.3104
Cm  16.777  124.1098  4.3223
