H   6.183  156.0877  4.1525
He  1.250  -8068.5433  5.8478 V0 not yet found
Li  8.940  81.6712  4.3189
Be  7.756  174.9607  3.9398
B  7.195  233.8951  4.1877
C   8.445  151.1525  4.1224
N   9.128  146.8954  4.1940
F   11.241  78.4550  5.0033
Ne  16.128  19.2618  5.5079
Na  14.127  45.0023  4.7089
Mg  11.347  112.4031  4.1330
Al  9.847  186.2102  4.0692
Si  9.756  150.8342  4.5322
P   11.288  133.1860  3.7408
S   11.723  132.1056  4.2455
Cl  13.507  82.6780  4.6504
Ar  20.213  16.8332  6.0138
K   22.573  22.1452  4.6451
Ca  15.976  77.5178  4.2351
Sc  12.443  158.0399  4.1225
Ti  10.850  206.1373  4.2452
V   10.138  222.8233  4.2907
Cr  9.636  233.9479  4.4476
Mn  9.279  240.8332  4.4862
Fe  9.076  241.5831  4.6052
Co  9.051  229.6701  4.6683
Ni  9.597  201.6034  4.6168
Cu  10.374  161.2421  4.6966
Zn  11.321  131.2205  4.5409
Ga  11.097  159.0982  4.5312
Ge  12.116  116.8000  4.1493
As  13.058  125.4301  4.1071
Se  13.226  128.9511  4.3983
Br  14.722  89.6645  4.5871
Kr  19.306  31.9518  5.6971
Rb  26.626  16.5207  4.4769
Sr  19.511  61.7079  4.1933
Y   15.252  133.0473  4.2291
Zr  13.027  196.7678  4.2155
Nb  12.005  225.0199  4.3534
Mo  11.343  242.3836  4.4926
Tc  10.914  250.5339  4.6116
Ru  10.725  247.1126  4.7826
Rh  10.877  222.4586  4.9469
Pd  11.803  181.4377  5.0143
Ag  13.124  127.1610  5.1751
Cd  14.648  98.7980  4.6748
In  14.032  131.8532  4.8044
Sn  14.491  107.5306  4.5603
Sb  15.743  109.5576  4.2362
Te  15.738  118.6281  4.4974
I  16.763  92.0262  4.5556
Xe  19.755  50.2243  5.2559
Cs  27.681  10.3706  5.6557
Ba  23.349  48.0573  4.0394
La  18.249  110.7746  4.1858
Ce  16.385  131.4651  4.2976
Pr  15.899  127.5630  4.4480
Nd  15.628  126.2513  4.3595
Pm  15.453  123.3584  4.3372
Sm  15.295  120.1496  4.3802
Eu  15.103  109.9516  7.7153
Gd  15.195  114.0775  3.7968
Tb  15.049  105.4822  3.1806
Dy  14.800  115.5470  4.5378
Ho  14.675  119.9789  4.4376
Er  14.648  119.5593  4.4025
Tm  14.686  118.6056  4.3985
Yb  14.773  117.4439  4.4586
Lu  14.444  140.3947  4.1251
Hf  12.837  206.7335  4.2384
Ta  11.988  242.8480  4.4018
W   11.421  265.4363  4.5190
Re  11.063  276.8118  4.6300
Os  10.937  275.9985  4.7301
Ir  11.101  256.7094  4.8553
Pt  12.126  208.0562  4.8977
Au  13.422  152.5494  5.0856
Hg  15.251  101.2087  5.1988
Tl  15.922  99.7814  5.1293
Pb  17.241  82.6182  4.6477
Bi  17.488  104.8089  4.3878
Po  16.926  117.7143  4.6012
At  17.743  94.4025  4.6545
Rn  20.288  58.8599  5.1305
Fr  25.895  20.1150  6.4055
Ra  25.276  40.6544  3.6885
Ac  20.329  99.1549  4.1992
Th  17.494  151.5429  4.1273
Pa  15.745  173.8575  4.3960
U  15.049  174.4174  4.4158
Np  14.674  169.8927  4.4157
Pu  14.477  163.3608  4.4123
Am  14.395  155.8846  4.3998
Cm  14.384  148.4204  4.4224
