H   5.007  163.8795  4.0724
He  14.428  6.1062  4.9621 V0 not yet found
Li  8.390  72.7456  4.1680
Be  6.063  241.1797  3.7939
B   7.358  183.3759  3.1323
C   7.850  170.6830  3.8647
N   7.665  184.0618  4.1351
F   9.413  99.3939  4.9944
Ne  21.533  3.6032  6.9735
Na  13.807  42.5925  4.5602
Mg  9.625  148.9525  4.0903
Al  11.229  133.7790  3.7256
Si  12.294  122.4904  4.1698
P   12.145  141.2702  4.2184
S   12.333  128.4600  4.5450
Cl  13.463  87.2446  5.1531
Ar  19.245  15.7745  6.6046
K  21.128  24.7233  5.2801
Ca  14.095  104.9375  4.2202
Sc  11.162  175.0918  4.4137
Ti  9.804  222.2498  4.4485
V   9.150  242.7886  4.4996
Cr  8.817  247.7765  4.5339
Mn  8.629  246.4308  4.5604
Fe  8.551  239.3552  4.5939
Co  8.621  224.1357  4.5500
Ni  8.995  205.6322  4.5928
Cu  9.548  177.0112  4.7086
Zn  10.137  164.9657  4.5165
Ga  12.171  123.1280  4.6039
Ge  13.554  112.8832  4.2399
As  13.593  130.8734  4.3182
Se  14.169  118.2102  4.6075
Br  15.541  83.6920  5.0746
Kr  19.860  26.7243  6.0095
Rb  24.093  17.5448  4.0943
Sr  17.528  84.1189  4.3097
Y   14.023  137.7372  4.9208
Zr  12.139  195.7803  4.6935
Nb  11.182  230.5169  4.5852
Mo  10.749  242.2052  4.7593
Tc  10.596  239.6878  4.8539
Ru  10.683  217.0879  4.9815
Rh  10.989  196.9387  4.8246
Pd  11.656  171.3931  4.9400
Ag  12.750  128.8065  5.1878
Cd  13.543  125.6786  4.8008
In  15.236  102.8367  4.8085
Sn  16.768  91.9858  4.3997
Sb  16.806  109.7794  4.3503
Te  17.435  102.4596  4.5597
I   18.996  75.6705  5.0440
Xe  22.541  34.9586  5.9494
Cs  26.252  21.1182  5.5429
Ba  21.636  68.8392  4.7892
La  17.209  124.5048  4.5219
Ce  15.499  145.3193  4.6374
Pr  14.994  145.9933  4.6646
Nd  14.647  144.8290  4.6762
Pm  14.408  142.5244  4.6910
Sm  14.248  139.4515  4.7256
Eu  14.127  135.6776  4.7532
Gd  14.050  131.2024  4.7889
Tb  14.023  126.7391  4.7612
Dy  13.988  124.1825  4.7169
Ho  13.931  121.9584  4.6831
Er  13.892  120.2236  4.6845
Tm  13.882  117.4127  4.7565
Yb  13.986  111.5966  4.9578
Lu  13.281  135.3370  4.5879
Hf  12.115  190.0747  4.5099
Ta  11.425  230.6659  4.5413
W   11.112  247.5384  4.5637
Re  11.044  246.5972  4.6226
Os  11.254  220.9932  4.5515
Ir  11.691  204.8069  4.5230
Pt  12.325  186.6964  4.8934
Au  13.437  144.8222  5.1272
Hg  14.905  112.0429  5.1129
Tl  16.972  81.2103  5.3085
Pb  18.256  86.6280  4.4620
Bi  18.009  104.8136  4.4859
Po  18.663  99.3766  4.5908
At  20.380  74.8389  4.9792
Rn  23.703  39.3620  5.8864
Fr  27.460  23.2185  5.7131
Ra  23.922  61.2920  4.6456
Ac  19.491  100.1708  4.9068
Th  16.570  159.1537  4.5795
Pa  15.032  190.5778  4.7840
U   14.148  207.4696  4.9178
Np  13.627  212.5104  4.9482
Pu  13.397  207.2697  4.8306
Am  13.297  194.8353  4.9446
Cm  13.341  177.2736  4.9875
